genre,size,release_year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,1,1977.0,40.0,304533.0,0.0756,0.86,0.666,0.00973,0.0501,-8.492,0.0375,98.296,0.473
Chanson,17,1967.8823529411766,42.76470588235294,202673.41176470587,0.5502705882352942,0.4324117647058823,0.4386470588235294,0.006435883529411764,0.23614117647058824,-9.964176470588237,0.0414,114.93011764705882,0.529
Classic rock,611,1973.607201309329,55.88379705400982,253788.75450081832,0.3274658906710313,0.5262454991816686,0.5764574468085104,0.06205391646481176,0.18924189852700465,-10.045327332242232,0.04645450081833059,121.49135351882168,0.5732214402618657
Country,6,1978.5,49.166666666666664,194159.83333333334,0.6891666666666666,0.5405000000000001,0.4015,0.0002105,0.3105,-10.399333333333333,0.061516666666666664,115.66183333333333,0.5905000000000001
Disco,9,1980.111111111111,47.666666666666664,270234.6666666667,0.19671444444444447,0.6912222222222222,0.7848888888888889,0.11994847777777778,0.247,-8.469666666666667,0.0794,122.33788888888888,0.7576666666666667
Dutch rock,208,1985.2692307692307,28.846153846153847,240123.9951923077,0.36261750480769245,0.5056442307692308,0.5403504807692306,0.012673472740384615,0.28933317307692297,-10.352038461538466,0.051054807692307684,116.3541201923077,0.48178076923076907
Electronica/dance,1,1979.0,20.0,93373.0,1.3e-05,0.187,0.993,0.0229,0.421,-2.747,0.116,102.145,0.0666
Folk,14,1973.142857142857,38.285714285714285,214135.85714285713,0.5843935714285714,0.4492857142857143,0.43914285714285717,0.008571893571428572,0.21472142857142856,-10.061714285714286,0.05744285714285715,115.07614285714286,0.5258571428571429
Hip-hop,1,1999.0,45.0,268306.0,0.878,0.327,0.426,0.000997,0.18,-11.576,0.027,93.949,0.169
House,1,1978.0,6.0,199863.0,0.00705,0.658,0.808,0.332,0.255,-8.546,0.0349,129.983,0.298
Jazz,15,1973.1333333333334,54.666666666666664,245338.26666666666,0.7522466666666667,0.48719999999999997,0.3051133333333333,0.03558905066666667,0.19619999999999999,-13.4812,0.04452666666666667,113.42020000000001,0.44860000000000005
Karaoke,14,1972.2142857142858,1.8571428571428572,200101.57142857142,0.2521014285714286,0.5752857142857143,0.4610714285714286,0.7271928571428573,0.21410714285714286,-13.090785714285715,0.039107142857142854,119.7277142857143,0.5659285714285714
Metal,2,2002.5,58.5,296406.5,0.44235,0.3095,0.4255,0.000448,0.188,-7.518,0.0318,92.03450000000001,0.1255
Nederpop,61,1973.2131147540983,23.508196721311474,221287.29508196723,0.3151901639344263,0.475622950819672,0.5974918032786886,0.06249029262295084,0.22777868852459016,-9.614852459016394,0.04627377049180327,123.66811475409838,0.5782295081967214
Other,220,1977.6954545454546,33.527272727272724,237636.47727272726,0.40649065500000003,0.5352595454545457,0.5238636363636362,0.1017584333181818,0.21232090909090906,-10.421777272727274,0.04954545454545453,115.9434454545455,0.5315418181818181
Pop,159,1983.5786163522012,51.23270440251572,253659.53459119497,0.3944377987421385,0.570314465408805,0.5684245283018866,0.03846311232704402,0.18658364779874212,-9.123490566037738,0.04413396226415097,120.62502515723271,0.5245459119496856
Rap,1,1979.0,54.0,427360.0,0.465,0.9,0.845,0.0,0.0724,-7.306,0.257,111.187,0.914
Reggae,7,1985.142857142857,56.0,260043.57142857142,0.11722428571428571,0.8028571428571427,0.5698571428571428,0.12509315714285715,0.12648571428571428,-11.274999999999997,0.05662857142857144,123.13628571428572,0.8587142857142858
Rock,254,1983.0826771653544,52.775590551181104,267333.85039370076,0.3060614283464568,0.5393228346456694,0.5790188976377957,0.05571486814960629,0.1900787401574802,-9.687771653543301,0.044214960629921245,118.33158267716529,0.5351003937007875
Rock-and-roll,68,1963.8529411764705,48.48529411764706,163573.63235294117,0.5075014705882352,0.532941176470588,0.5307529411764706,0.09370992852941175,0.2467029411764706,-9.971691176470587,0.05104264705882353,113.53889705882352,0.6779558823529415
Singer-songwriter,3,1976.3333333333333,34.0,192711.0,0.7000000000000001,0.5803333333333334,0.3993333333333333,0.04061666666666667,0.1458,-12.430000000000001,0.031033333333333333,107.695,0.4376666666666667
Soft rock,232,1980.5474137931035,55.672413793103445,251131.40086206896,0.37133025862068947,0.541137931034483,0.5276077586206893,0.015434515215517237,0.17318534482758616,-10.41142241379311,0.040397844827586196,118.30582327586202,0.5159021551724139
Soul,60,1971.7833333333333,57.75,223350.23333333334,0.40209466666666666,0.6003999999999999,0.5059883333333334,0.05398467700000001,0.17273166666666664,-10.961183333333334,0.056250000000000015,114.30166666666668,0.627575
