genre,size,release_year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,1,1977.0,40.0,304533.0,0.0756,0.86,0.666,0.00973,0.0501,-8.492,0.0375,98.296,0.473
Chanson,7,1967.2857142857142,49.714285714285715,193736.7142857143,0.6061428571428571,0.4402857142857143,0.4735714285714286,2.7742857142857143e-06,0.23881428571428573,-8.003428571428572,0.045099999999999994,123.52871428571429,0.5401428571428571
Classic rock,527,1975.6261859582544,58.56925996204934,272486.64895635674,0.31552328846299776,0.5216698292220112,0.5766039848197341,0.06328642333965842,0.19029240986717266,-10.09359962049336,0.04683017077798863,120.31149905123328,0.5498254269449715
Country,5,1984.2,63.6,195389.0,0.5098,0.5652,0.538,0.0001146,0.25976,-8.7026,0.06074,110.79900000000002,0.5912
Disco,6,1983.8333333333333,57.333333333333336,243710.66666666666,0.21323333333333336,0.7828333333333334,0.7708333333333334,0.029222816666666665,0.24061666666666662,-8.410833333333334,0.11413333333333332,125.423,0.7138333333333334
Dutch rock,270,1995.4703703703703,32.214814814814815,241518.84444444443,0.33933654444444455,0.5048444444444443,0.5519514814814811,0.012727986777777778,0.29104703703703666,-9.519703703703712,0.045819259259259254,118.3258,0.44434999999999997
Electronica/dance,5,1995.6,48.6,289933.0,0.0035286,0.4806,0.7842,0.15892,0.31751999999999997,-6.049,0.058820000000000004,107.78480000000002,0.22233999999999998
Folk,7,1981.2857142857142,44.857142857142854,277693.0,0.5280442857142857,0.3851428571428572,0.4837142857142857,0.017419444285714285,0.22087142857142858,-9.137857142857143,0.07220000000000001,128.01442857142857,0.3734285714285714
Hip-hop,8,2001.875,57.5,247770.75,0.25561125,0.59125,0.621375,0.299440875,0.2036125,-9.463250000000002,0.03635,116.76050000000001,0.413375
House,4,1997.0,53.0,288528.25,0.0172525,0.69425,0.78275,0.3052507325,0.18520000000000003,-6.923,0.086925,125.9795,0.43975
Jazz,8,1989.0,58.875,257322.875,0.75775,0.486,0.2693625,0.01358727625,0.169875,-13.718250000000001,0.0358875,128.14475000000002,0.45287499999999997
Karaoke,14,1994.357142857143,4.642857142857143,222183.64285714287,0.2896863571428571,0.6265,0.45223571428571435,0.6836428571428571,0.16199999999999995,-13.101785714285713,0.046271428571428574,112.84314285714287,0.5240642857142856
Metal,7,2006.0,59.857142857142854,282361.5714285714,0.13595557142857145,0.41857142857142854,0.7187142857142856,0.00047997999999999997,0.14758571428571426,-5.354,0.03841428571428572,106.58028571428572,0.3911428571428571
Nederpop,23,1985.4782608695652,31.91304347826087,249626.08695652173,0.3553243478260869,0.5150434782608695,0.582504347826087,0.11973103086956523,0.21731739130434785,-8.719913043478261,0.05219565217391304,123.3101739130435,0.5249565217391304
Other,156,1987.929487179487,37.89102564102564,244922.61538461538,0.3661931660256409,0.5493846153846154,0.5445576923076922,0.11301668730769225,0.2065506410256409,-9.720141025641023,0.04793076923076922,114.41603205128206,0.49863653846153877
Pop,236,2000.1059322033898,62.29237288135593,263900.6186440678,0.3127275084745763,0.5892118644067796,0.6178978813559323,0.034383304449152524,0.16321652542372883,-7.376466101694913,0.0564050847457627,120.04305932203393,0.4664080508474576
Rap,15,1998.9333333333334,68.06666666666666,266045.0,0.18161599999999997,0.7062,0.6385333333333335,0.026573153333333335,0.28658666666666666,-7.4456,0.10018666666666665,102.94506666666668,0.46169333333333334
Reggae,7,1984.2857142857142,55.285714285714285,242514.0,0.08536714285714285,0.8044285714285714,0.5398571428571428,0.11827887142857144,0.12378571428571429,-11.605999999999998,0.10122857142857145,121.29771428571429,0.859
Rock,443,1993.2167042889391,58.38374717832957,272614.56207674945,0.21993375828442427,0.5139503386004515,0.6540094808126408,0.05926335006772004,0.1880925507900677,-8.236207674943563,0.04707336343115124,120.77652144469513,0.48071422121896124
Rock-and-roll,24,1966.875,57.791666666666664,183314.91666666666,0.5502458333333333,0.47620833333333334,0.4299249999999999,0.08833567625,0.2742125,-11.175208333333332,0.04750833333333334,111.358625,0.5557083333333334
Singer-songwriter,1,1995.0,58.0,237080.0,0.378,0.336,0.47,0.00332,0.0953,-10.541,0.0319,154.649,0.163
Soft rock,148,1982.662162162162,59.527027027027025,265296.4797297297,0.36537608108108105,0.5193986486486486,0.5248290540540539,0.01850532324324324,0.17437972972972976,-10.591999999999995,0.03698243243243243,117.43691891891892,0.48434391891891876
Soul,57,1976.701754385965,61.0,229578.0701754386,0.33135578947368416,0.6280877192982454,0.5408631578947369,0.05651062315789472,0.17635438596491226,-10.425456140350878,0.05679473684210526,113.19522807017545,0.6286754385964911
Techno,7,1996.7142857142858,55.857142857142854,281932.85714285716,0.10868499999999999,0.5984285714285714,0.8615714285714285,0.4703142857142857,0.1591857142857143,-7.518857142857142,0.07897142857142858,147.2388571428571,0.35514285714285715
