genre,size,year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,1,1977.0,40.0,304533.0,0.0756,0.86,0.666,0.00973,0.0501,-8.492,0.0375,98.296,0.473
Chanson,15,1967.6666666666667,42.13333333333333,203734.8,0.5689333333333334,0.4296666666666666,0.42279999999999995,0.007294001333333333,0.24178,-10.242200000000002,0.041139999999999996,114.68506666666666,0.5252000000000001
Classic rock,598,1973.4581939799332,55.72240802675585,253660.8060200669,0.32875705384615406,0.52571906354515,0.5759456521739129,0.06050635030100332,0.18863428093645465,-10.110772575250849,0.046495484949832765,121.43158528428104,0.577080769230769
Country,5,1973.4,53.6,182439.8,0.7074,0.5672,0.39580000000000004,0.0002526,0.3326,-11.2028,0.06754,110.7814,0.6886000000000001
Disco,10,1980.0,47.5,264725.9,0.140189,0.6701,0.7783000000000001,0.090468982,0.26613999999999993,-8.7853,0.05735000000000001,125.2151,0.7955
Dutch rock,195,1984.6051282051283,28.825641025641026,239019.68717948717,0.37276256923076934,0.5088820512820513,0.5362302564102563,0.013232377230769228,0.2820794871794871,-10.50538974358975,0.051253846153846136,116.30564102564105,0.48264512820512817
Electronica/dance,1,1979.0,20.0,93373.0,1.3e-05,0.187,0.993,0.0229,0.421,-2.747,0.116,102.145,0.0666
Folk,15,1971.3333333333333,36.8,213593.46666666667,0.6073673333333335,0.4446,0.41496,0.008000580666666667,0.20973999999999998,-10.596733333333333,0.056280000000000004,114.12073333333333,0.5142000000000001
Hip-hop,1,1999.0,45.0,268306.0,0.878,0.327,0.426,0.000997,0.18,-11.576,0.027,93.949,0.169
House,1,1978.0,6.0,199863.0,0.00705,0.658,0.808,0.332,0.255,-8.546,0.0349,129.983,0.298
Jazz,14,1975.9285714285713,53.0,243335.7142857143,0.8116428571428573,0.4885714285714286,0.2577714285714286,0.09357385785714288,0.1997142857142857,-14.392285714285714,0.04301428571428572,114.71678571428572,0.42257142857142865
Karaoke,14,1973.0,1.8571428571428572,204194.85714285713,0.20530142857142855,0.5564285714285714,0.4725714285714287,0.666107142857143,0.20529285714285717,-12.986142857142857,0.03834285714285714,126.87407142857144,0.5724285714285715
Metal,2,2002.5,58.5,296406.5,0.44235,0.3095,0.4255,0.000448,0.188,-7.518,0.0318,92.03450000000001,0.1255
Nederpop,61,1972.1967213114754,23.016393442622952,217874.88524590165,0.3167803278688526,0.46608196721311457,0.5962295081967214,0.06831157459016395,0.22883770491803282,-9.486491803278687,0.04642295081967212,122.97408196721314,0.5824262295081967
Other,247,1976.6032388663969,32.35222672064777,234708.39271255062,0.40343329595141736,0.5331137651821863,0.5281052631578946,0.08881089603238863,0.21912510121457487,-10.359388663967616,0.047117004048582996,116.47583400809717,0.5431623481781376
Pop,159,1981.7672955974842,50.666666666666664,249294.8364779874,0.40855578616352217,0.5686037735849058,0.5627327044025154,0.043255719182389935,0.18872012578616354,-9.193339622641512,0.04338867924528304,120.51050943396228,0.5300993710691824
Reggae,7,1985.142857142857,56.0,260043.57142857142,0.11722428571428571,0.8028571428571427,0.5698571428571428,0.12509315714285715,0.12648571428571428,-11.274999999999997,0.05662857142857144,123.13628571428572,0.8587142857142858
Rock,250,1982.44,51.92,264318.408,0.31955969120000005,0.5442800000000001,0.5761352000000003,0.054950844999999984,0.1893179999999999,-9.738147999999994,0.043512,118.53563199999995,0.5391459999999999
Rock-and-roll,77,1964.064935064935,49.01298701298701,164452.7142857143,0.4962002597402597,0.5256103896103894,0.5279636363636365,0.09042850519480519,0.24700129870129867,-9.960948051948053,0.05026493506493506,113.78522077922075,0.6725324675324678
Singer-songwriter,3,1976.3333333333333,34.0,192711.0,0.7000000000000001,0.5803333333333334,0.3993333333333333,0.04061666666666667,0.1458,-12.430000000000001,0.031033333333333333,107.695,0.4376666666666667
Soft rock,234,1980.388888888889,55.43589743589744,249179.4829059829,0.36579547008546975,0.5414230769230773,0.5286192307692305,0.016950949829059824,0.1727465811965812,-10.428547008547007,0.04003333333333332,118.11988888888888,0.5194371794871796
Soul,57,1972.3859649122808,56.92982456140351,229731.08771929826,0.356441754385965,0.6247017543859648,0.5303807017543861,0.03993241087719299,0.18315438596491232,-10.742473684210529,0.0600421052631579,114.4941052631579,0.667921052631579
