genre,size,release_year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,1,1977.0,40.0,304533.0,0.0756,0.86,0.666,0.00973,0.0501,-8.492,0.0375,98.296,0.473
Chanson,4,1970.0,54.25,202096.25,0.46075,0.3725,0.5279999999999999,6.3e-07,0.3205,-8.3495,0.05285,125.36224999999999,0.5375
Classic rock,533,1975.7692307692307,58.93621013133208,273402.67729831144,0.31741430397748566,0.5212063789868667,0.5785540337711065,0.06219418202626643,0.1914765478424016,-10.086114446529086,0.047446904315197026,120.36962851782353,0.5507786116322699
Country,8,1977.0,58.75,186746.375,0.529625,0.58975,0.514875,0.010662125,0.3205625,-9.886125,0.12081249999999999,116.31675000000003,0.63
Disco,4,1982.5,56.5,232306.25,0.20735,0.758,0.754,7.9075e-05,0.32797499999999996,-9.089,0.07869999999999999,130.267,0.7650000000000001
Dutch rock,258,1995.7093023255813,33.13178294573643,240626.0426356589,0.3387726201550388,0.5077131782945739,0.5538484496124028,0.01666507503875969,0.28380155038759675,-9.52074418604652,0.04746472868217053,118.95345736434109,0.4456220930232558
Electronica/dance,6,1996.1666666666667,42.666666666666664,290024.1666666667,0.020273833333333335,0.5063333333333334,0.8076666666666666,0.20493333333333333,0.2839333333333333,-5.837833333333333,0.05803333333333333,110.98666666666668,0.2562833333333333
Folk,7,1981.2857142857142,44.857142857142854,277693.0,0.5280442857142857,0.3851428571428572,0.4837142857142857,0.017419444285714285,0.22087142857142858,-9.137857142857143,0.07220000000000001,128.01442857142857,0.3734285714285714
Hip-hop,8,2001.875,57.5,247770.75,0.25561125,0.59125,0.621375,0.299440875,0.2036125,-9.463250000000002,0.03635,116.76050000000001,0.413375
House,6,2000.6666666666667,55.5,268609.8333333333,0.019185,0.6856666666666666,0.7955,0.20425215500000002,0.20163333333333333,-6.894000000000001,0.09649999999999999,125.90333333333332,0.44116666666666665
Jazz,8,1989.0,58.875,257322.875,0.75775,0.486,0.2693625,0.01358727625,0.169875,-13.718250000000001,0.0358875,128.14475000000002,0.45287499999999997
Karaoke,14,1993.5,4.714285714285714,222478.42857142858,0.28272207142857136,0.6231428571428571,0.4407357142857143,0.6646428571428571,0.1738571428571428,-13.056928571428571,0.04627857142857143,110.0595,0.5278499999999999
Metal,8,2006.125,59.25,270294.625,0.11896557500000002,0.41962499999999997,0.7487499999999999,0.0005388575,0.1505125,-5.231625,0.03905,107.00150000000001,0.41275
Nederpop,16,1985.0625,35.5625,247912.625,0.37463750000000007,0.5069375,0.5614750000000001,0.169753936875,0.2195375,-8.9031875,0.052399999999999995,122.693625,0.5056875
Other,134,1989.097014925373,38.507462686567166,249278.0,0.3495674171641791,0.5598731343283581,0.5604328358208955,0.11101452313432834,0.20825223880597013,-9.597746268656712,0.05312985074626866,115.37646268656715,0.49893507462686565
Pop,229,2000.1310043668122,62.72052401746725,263772.72052401747,0.3124951615720522,0.5947292576419214,0.6164755458515284,0.039112089257641904,0.17752401746724888,-7.367628820960692,0.05809912663755456,120.64545851528386,0.4676563318777293
Rap,20,2000.0,68.2,274753.7,0.1650485,0.7157999999999999,0.63975,0.01992992,0.273375,-6.8519000000000005,0.09515499999999998,104.3199,0.50317
Reggae,6,1987.8333333333333,57.666666666666664,217510.66666666666,0.16821166666666668,0.8075,0.472,0.13672315000000002,0.13040000000000002,-11.048499999999999,0.11216666666666665,116.43850000000002,0.7476666666666666
Rock,492,1993.7459349593496,59.449186991869915,273030.5650406504,0.19845981014227645,0.5085467479674796,0.6594199186991868,0.06107535863821134,0.19335934959349593,-8.177556910569105,0.04859817073170731,121.95573577235764,0.47004024390243876
Rock-and-roll,22,1966.909090909091,58.0,185332.0909090909,0.5403227272727272,0.4705,0.4238272727272728,0.056276718636363625,0.2645863636363636,-11.118227272727271,0.046709090909090915,112.78595454545457,0.5465909090909091
Singer-songwriter,2,1996.0,61.0,246600.0,0.636,0.41000000000000003,0.2787,0.07866,0.10264999999999999,-14.1685,0.03565,124.406,0.191
Soft rock,143,1982.4685314685314,59.62237762237762,264031.05594405596,0.3581202797202797,0.5313216783216782,0.5309720279720276,0.0191360109090909,0.1760972027972028,-10.478034965034958,0.03728881118881119,117.24860839160834,0.49564475524475504
Soul,55,1977.6545454545455,61.70909090909091,234728.81818181818,0.3184807272727272,0.6177272727272726,0.5455145454545456,0.04950813309090908,0.17482000000000003,-10.201545454545453,0.05814181818181818,116.0831272727273,0.6031545454545454
Techno,7,1996.2857142857142,56.142857142857146,275152.0,0.11191785714285714,0.6192857142857143,0.8149999999999998,0.4350428571428572,0.15185714285714286,-7.9441428571428565,0.07942857142857143,143.36557142857143,0.3777142857142857
