genre,size,year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,2,1971.5,37.5,249679.5,0.2878,0.687,0.676,0.004865,0.28855000000000003,-8.975000000000001,0.0461,112.679,0.6105
Chanson,12,1967.6666666666667,44.166666666666664,199886.33333333334,0.6198333333333333,0.4154166666666666,0.4411666666666667,0.009112084999999999,0.24439166666666667,-9.780916666666668,0.042550000000000004,115.73566666666666,0.52275
Country,4,1973.0,53.25,188109.75,0.68725,0.57975,0.43325,5.325e-05,0.3825,-11.0055,0.076725,112.16675000000001,0.7295
Disco,13,1979.8461538461538,48.07692307692308,287610.6153846154,0.16280284615384616,0.7063846153846154,0.7471538461538463,0.13430155538461538,0.1990769230769231,-9.45053846153846,0.0710846153846154,124.9733076923077,0.7600769230769231
Dutch cabaret,2,1985.5,11.5,254058.0,0.689,0.581,0.27749999999999997,0.01505,0.21345,-14.483999999999998,0.0424,89.26150000000001,0.31425000000000003
Electronica/dance,1,1979.0,20.0,93373.0,1.3e-05,0.187,0.993,0.0229,0.421,-2.747,0.116,102.145,0.0666
Folk,11,1966.1818181818182,37.18181818181818,208895.45454545456,0.6168645454545455,0.4811818181818181,0.44421818181818185,0.010820440909090907,0.20849999999999994,-10.391454545454545,0.0638,118.45418181818181,0.5775454545454546
House,1,1978.0,6.0,199863.0,0.00705,0.658,0.808,0.332,0.255,-8.546,0.0349,129.983,0.298
Jazz,12,1966.0,48.5,229029.58333333334,0.6758083333333333,0.42958333333333343,0.30565833333333337,0.10108361083333334,0.2262583333333333,-14.561250000000001,0.04454166666666667,109.78683333333335,0.40747500000000003
Karaoke,16,1973.4375,1.6875,206256.0,0.24280125,0.544375,0.4683750000000001,0.6387812500000001,0.19469375000000005,-12.6939375,0.037331249999999996,125.45618750000001,0.55525
Other,266,1975.7857142857142,32.537593984962406,231373.75939849624,0.40649159436090265,0.541974060150376,0.5303308270676693,0.10023948285714279,0.20732368421052624,-10.634533834586462,0.04737481203007518,116.59989473684213,0.5627612781954886
Pop,189,1978.7142857142858,44.857142857142854,241326.97883597884,0.3947275502645505,0.5558359788359786,0.5677010582010578,0.03693369031746031,0.19049365079365074,-9.3847671957672,0.044175661375661375,121.52764550264546,0.5572761904761903
Punk,2,1988.5,47.5,244703.5,0.38875,0.4505,0.33699999999999997,0.46199999999999997,0.1735,-13.833,0.03095,105.17849999999999,0.105
Reggae,8,1983.625,54.875,252234.75,0.13119625000000001,0.8021249999999999,0.570375,0.1094565125,0.1182,-10.774124999999998,0.09617500000000001,117.51712500000001,0.853125
Rock,1357,1976.457627118644,50.694178334561535,242371.6565954311,0.34733825755342695,0.5365018422991891,0.5623000736919682,0.04741762646278559,0.2004100221075903,-10.14287840825351,0.04629808400884302,119.26384524686794,0.567896536477524
Singer-songwriter,3,1976.3333333333333,34.0,192711.0,0.7000000000000001,0.5803333333333334,0.3993333333333333,0.04061666666666667,0.1458,-12.430000000000001,0.031033333333333333,107.695,0.4376666666666667
Soul,61,1972.967213114754,56.26229508196721,232475.49180327868,0.35800622950819666,0.6248524590163933,0.5379180327868854,0.03655649311475411,0.1813213114754098,-10.865016393442627,0.059373770491803285,114.53859016393444,0.6801475409836069
Soundtrack,2,1969.0,33.5,205673.0,0.6425,0.3425,0.2625,0.338,0.1335,-13.84,0.03675,102.844,0.13505
