genre,size,year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,1,1977.0,40.0,304533.0,0.0756,0.86,0.666,0.00973,0.0501,-8.492,0.0375,98.296,0.473
Chanson,12,1967.1666666666667,43.833333333333336,196608.5,0.6066666666666666,0.43449999999999994,0.43883333333333335,0.00884596,0.26375,-9.692666666666668,0.042133333333333335,114.25291666666665,0.5494166666666667
Classical,2,1992.5,14.0,271793.0,0.8285,0.4895,0.174,0.3005,0.178,-15.865,0.035949999999999996,91.70150000000001,0.3125
Country,5,1979.0,57.4,193794.4,0.6796,0.5706,0.425,8.8e-05,0.32496,-10.3316,0.06672,107.8092,0.6162
Disco,2,1981.5,54.0,218713.0,0.2379,0.7235,0.7945,2.865e-05,0.5135,-8.657,0.0969,127.9905,0.663
Dutch cabaret,3,1987.3333333333333,12.666666666666666,253572.0,0.6699999999999999,0.566,0.34333333333333327,0.010033333333333333,0.17423333333333332,-13.124,0.05293333333333333,116.82533333333333,0.44650000000000006
Electronica/dance,2,1995.0,26.5,161679.5,0.0422565,0.43700000000000006,0.9125,0.0189,0.287,-4.5865,0.07945,118.07849999999999,0.1738
Folk,7,1970.4285714285713,47.0,262483.4285714286,0.55033,0.4635714285714286,0.5111428571428571,0.01728895,0.2578714285714286,-9.158428571428571,0.07712857142857144,128.00071428571428,0.5185714285714286
Hip-hop,2,1995.0,53.0,288366.0,0.45865,0.4595,0.6305,0.1049985,0.4225,-10.025500000000001,0.0295,104.1925,0.436
House,2,1993.0,7.0,338344.5,0.0035713,0.6595,0.724,0.36450000000000005,0.16705,-8.504,0.04695,129.9915,0.312
Jazz,12,1977.3333333333333,54.833333333333336,254402.83333333334,0.7988333333333332,0.4965833333333334,0.25272500000000003,0.03616950083333333,0.19566666666666663,-14.594416666666666,0.043125,120.2305,0.44275000000000003
Karaoke,11,1983.0,2.909090909090909,213540.18181818182,0.36390727272727275,0.5824545454545453,0.4035727272727273,0.7548181818181819,0.17729999999999999,-13.930454545454545,0.03985454545454545,110.51045454545455,0.4843545454545454
Metal,4,2003.75,58.5,302246.25,0.2358,0.39525,0.5702499999999999,0.0007865,0.14615,-6.6442499999999995,0.03105,94.8645,0.32149999999999995
Neo mellow,2,2005.5,63.5,196186.5,0.22899999999999998,0.776,0.595,9.825e-05,0.121,-7.784000000000001,0.0348,103.75200000000001,0.599
Other,173,1983.7225433526012,36.32947976878613,243723.8034682081,0.37596522254335246,0.5454670520231214,0.5511213872832369,0.0983063609826589,0.22601445086705188,-9.74627167630058,0.04656416184971098,116.4195086705203,0.529100578034682
Pop,212,1991.3443396226414,53.95283018867924,258483.1179245283,0.3531982429245282,0.579391509433962,0.5965094339622641,0.03534673981132076,0.17994245283018873,-8.225575471698113,0.04347452830188682,122.27571698113208,0.5026966981132075
Punk,2,1988.5,47.5,244703.5,0.38875,0.4505,0.33699999999999997,0.46199999999999997,0.1735,-13.833,0.03095,105.17849999999999,0.105
Reggae,6,1984.0,57.5,209373.0,0.08661166666666666,0.8126666666666665,0.5266666666666666,0.13736201666666667,0.13273333333333334,-11.4275,0.11148333333333334,124.516,0.8533333333333334
Rock,1453,1982.0901582931865,51.06400550584996,256213.24501032347,0.31819459556779073,0.5186944253269093,0.5765336545079152,0.04801922269098416,0.21048382656572626,-9.708687543014465,0.04549951823812803,119.31209222298686,0.5192138334480376
Singer-songwriter,3,1982.0,44.333333333333336,193457.66666666666,0.646,0.49466666666666675,0.4756666666666667,0.02539,0.1551,-9.624666666666666,0.0328,127.45566666666666,0.3393333333333333
Soul,59,1975.1186440677966,60.13559322033898,229944.13559322033,0.35235050847457633,0.6185762711864404,0.5285474576271187,0.0545580952542373,0.17152372881355935,-10.584118644067795,0.056047457627118664,117.1041186440678,0.6381271186440676
Soundtrack,2,1969.0,33.5,205673.0,0.6425,0.3425,0.2625,0.338,0.1335,-13.84,0.03675,102.844,0.13505
