genre,size,year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,1,1977.0,40.0,304533.0,0.0756,0.86,0.666,0.00973,0.0501,-8.492,0.0375,98.296,0.473
British invasion,1,1966.0,13.0,158026.0,0.155,0.363,0.605,0.0,0.0664,-10.781,0.0336,118.845,0.658
Chanson,13,1967.7692307692307,42.53846153846154,196067.38461538462,0.6159230769230769,0.4276923076923076,0.42723076923076925,0.00841257846153846,0.24513076923076924,-10.092769230769232,0.04253846153846153,114.35146153846154,0.5263846153846155
Classical,1,1924.0,49.0,890000.0,0.976,0.309,0.258,0.69,0.0924,-15.327,0.0459,74.568,0.115
Country,5,1973.4,53.6,182439.8,0.7074,0.5672,0.39580000000000004,0.0002526,0.3326,-11.2028,0.06754,110.7814,0.6886000000000001
Disco,15,1980.3333333333333,49.93333333333333,262871.4,0.16346913333333335,0.7070666666666666,0.7472666666666669,0.12271214800000001,0.19614,-9.023266666666666,0.07032000000000001,122.34519999999999,0.7462666666666666
Dutch cabaret,2,1985.5,11.5,254058.0,0.689,0.581,0.27749999999999997,0.01505,0.21345,-14.483999999999998,0.0424,89.26150000000001,0.31425000000000003
Electronica/dance,1,1979.0,20.0,93373.0,1.3e-05,0.187,0.993,0.0229,0.421,-2.747,0.116,102.145,0.0666
Folk,10,1967.8,38.9,215273.1,0.631031,0.4422,0.44974,0.011902207,0.23325,-10.5728,0.0648,116.00480000000002,0.5509999999999999
House,1,1978.0,6.0,199863.0,0.00705,0.658,0.808,0.332,0.255,-8.546,0.0349,129.983,0.298
Jazz,15,1965.4666666666667,47.46666666666667,237972.13333333333,0.6261800000000001,0.4685333333333334,0.35432666666666673,0.14059494600000003,0.2599933333333333,-14.257066666666669,0.046726666666666666,117.27500000000002,0.49924666666666667
Karaoke,16,1973.9375,1.6875,208107.4375,0.29196124999999995,0.5790624999999999,0.42556250000000007,0.6359962500000002,0.17949375000000004,-13.154,0.0395625,122.83362500000001,0.532375
Other,330,1976.460606060606,33.06363636363636,227462.13636363635,0.37307073969696997,0.5622442424242431,0.5526121212121211,0.10269832912121211,0.21167454545454545,-10.4388303030303,0.05215909090909089,117.62447575757577,0.5950503030303028
Pop,196,1977.8316326530612,44.36224489795919,236622.30102040817,0.3756644234693876,0.5581683673469386,0.5821969387755099,0.04128833025510203,0.19188928571428576,-9.383392857142862,0.04671989795918368,122.39522448979592,0.5816999999999997
Punk,2,1988.5,47.5,244703.5,0.38875,0.4505,0.33699999999999997,0.46199999999999997,0.1735,-13.833,0.03095,105.17849999999999,0.105
Reggae,7,1983.7142857142858,52.285714285714285,257424.57142857142,0.19900571428571429,0.7471428571428572,0.5814285714285713,0.013104214285714285,0.11605714285714286,-11.142857142857142,0.054385714285714294,115.39771428571429,0.7698571428571429
Rock,1269,1976.220646178093,51.21591804570528,239596.7635933806,0.3461242100078808,0.5418873128447589,0.5650408983451544,0.04347591692671402,0.19822695035460988,-10.142484633569744,0.04621820330969271,119.30296926713929,0.5788844759653272
Singer-songwriter,2,1976.0,27.5,200600.0,0.6845,0.5305,0.2905,0.027225,0.1587,-15.720500000000001,0.02765,100.86449999999999,0.3865
Soul,70,1973.2714285714285,53.75714285714286,234501.0,0.34242400000000006,0.6307857142857143,0.5527714285714286,0.03665341057142857,0.1854057142857143,-10.536185714285716,0.0580957142857143,112.17741428571432,0.6803285714285718
Soundtrack,2,1969.0,33.5,205673.0,0.6425,0.3425,0.2625,0.338,0.1335,-13.84,0.03675,102.844,0.13505
