genre,size,year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Chanson,4,1970.0,54.25,202096.25,0.46075,0.3725,0.5279999999999999,6.3e-07,0.3205,-8.3495,0.05285,125.36224999999999,0.5375
Classical,1,1983.0,28.0,290026.0,0.755,0.607,0.237,0.183,0.25,-16.521,0.0267,105.092,0.372
Country,8,1977.0,58.75,186746.375,0.529625,0.58975,0.514875,0.010662125,0.3205625,-9.886125,0.12081249999999999,116.31675000000003,0.63
Disco,4,1982.5,56.5,232306.25,0.20735,0.758,0.754,7.9075e-05,0.32797499999999996,-9.089,0.07869999999999999,130.267,0.7650000000000001
Dutch cabaret,1,1996.0,6.0,283116.0,0.957,0.556,0.241,0.0301,0.0999,-16.287,0.0406,76.111,0.0855
Electronica/dance,7,1996.142857142857,46.0,283344.4285714286,0.017419714285714285,0.5202857142857144,0.8001428571428572,0.29165714285714284,0.2523,-6.541142857142857,0.05455714285714286,114.712,0.2751
Folk,5,1973.0,47.8,292317.0,0.491662,0.42800000000000005,0.545,0.024200621999999998,0.22022,-8.393,0.08416000000000001,131.2606,0.45600000000000007
Hip-hop,8,2001.875,57.5,247770.75,0.25561125,0.59125,0.621375,0.299440875,0.2036125,-9.463250000000002,0.03635,116.76050000000001,0.413375
House,7,2003.0,55.0,260254.85714285713,0.017757142857142857,0.6778571428571428,0.7832857142857143,0.17589756142857144,0.1926857142857143,-6.9220000000000015,0.08714285714285715,124.34671428571427,0.4128571428571428
Jazz,8,1989.0,58.875,257322.875,0.75775,0.486,0.2693625,0.01358727625,0.169875,-13.718250000000001,0.0358875,128.14475000000002,0.45287499999999997
Karaoke,12,1996.75,5.166666666666667,227076.66666666666,0.32679241666666664,0.6177499999999999,0.44660833333333344,0.7344166666666667,0.17071666666666666,-12.886333333333333,0.063875,123.56474999999999,0.473575
Metal,8,2006.125,59.25,270294.625,0.11896557500000002,0.41962499999999997,0.7487499999999999,0.0005388575,0.1505125,-5.231625,0.03905,107.00150000000001,0.41275
Other,158,1991.886075949367,43.69620253164557,253689.68987341772,0.29551334746835445,0.5819113924050631,0.5882088607594935,0.10848399405063286,0.2175873417721519,-9.028234177215186,0.06011329113924049,115.75625949367087,0.49705759493670876
Pop,240,2000.0875,62.025,262827.80833333335,0.3128135916666664,0.5923708333333332,0.6112229166666668,0.03831330824999999,0.17540541666666662,-7.4900583333333275,0.0575258333333333,119.21938333333337,0.4689358333333332
Punk,1,1995.0,60.0,278199.0,0.698,0.43,0.295,0.569,0.226,-14.255,0.0283,74.014,0.159
Reggae,6,1987.8333333333333,57.666666666666664,217510.66666666666,0.16821166666666668,0.8075,0.472,0.13672315000000002,0.13040000000000002,-11.048499999999999,0.11216666666666665,116.43850000000002,0.7476666666666666
Rock,1456,1986.0570054945056,54.880494505494504,265907.36126373627,0.28416582092719794,0.5132651098901094,0.5952960164835167,0.05047881496565932,0.2078085851648352,-9.36949862637363,0.04686023351648345,120.29795192307718,0.4987020604395611
Singer-songwriter,2,1996.0,61.0,246600.0,0.636,0.41000000000000003,0.2787,0.07866,0.10264999999999999,-14.1685,0.03565,124.406,0.191
Soul,53,1979.301886792453,62.943396226415096,238522.7358490566,0.30952716981132067,0.6053584905660376,0.5514641509433963,0.030684264528301888,0.1779094339622641,-9.942037735849054,0.057330188679245275,116.98288679245283,0.598358490566038
Soundtrack,2,1969.0,33.5,205673.0,0.6425,0.3425,0.2625,0.338,0.1335,-13.84,0.03675,102.844,0.13505
