genre,size,year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Chanson,4,1970.0,54.25,202096.25,0.46075,0.3725,0.5279999999999999,6.3e-07,0.3205,-8.3495,0.05285,125.36224999999999,0.5375
Classical,1,1983.0,28.0,290026.0,0.755,0.607,0.237,0.183,0.25,-16.521,0.0267,105.092,0.372
Country,11,1984.6363636363637,58.45454545454545,196634.81818181818,0.49090909090909085,0.5519090909090909,0.5041818181818182,0.009126289999999999,0.2983272727272727,-9.550272727272729,0.09579090909090908,105.3307272727273,0.6067272727272727
Disco,4,1982.5,56.5,232306.25,0.20735,0.758,0.754,7.9075e-05,0.32797499999999996,-9.089,0.07869999999999999,130.267,0.7650000000000001
Dutch cabaret,1,1996.0,6.0,283116.0,0.957,0.556,0.241,0.0301,0.0999,-16.287,0.0406,76.111,0.0855
Electronica/dance,6,1994.6666666666667,43.333333333333336,264933.0,0.017973,0.4828333333333334,0.8145000000000001,0.3365666666666667,0.23385,-7.017833333333333,0.051133333333333336,116.49683333333333,0.2601166666666667
Folk,4,1973.0,54.75,215553.0,0.5603275,0.432,0.5720000000000001,7.775e-07,0.236275,-8.1615,0.09782500000000001,131.0635,0.534
Hip-hop,8,2001.875,57.5,247770.75,0.25561125,0.59125,0.621375,0.299440875,0.2036125,-9.463250000000002,0.03635,116.76050000000001,0.413375
House,7,2003.0,55.0,260254.85714285713,0.017757142857142857,0.6778571428571428,0.7832857142857143,0.17589756142857144,0.1926857142857143,-6.9220000000000015,0.08714285714285715,124.34671428571427,0.4128571428571428
Jazz,7,1990.4285714285713,61.42857142857143,259845.2857142857,0.8230000000000001,0.49514285714285705,0.23912857142857144,0.015527817142857142,0.09385714285714286,-13.633428571428572,0.034042857142857146,133.56014285714286,0.4588571428571429
Karaoke,13,1998.6923076923076,4.846153846153846,238553.38461538462,0.2958276153846154,0.6713076923076924,0.43656153846153845,0.6234747692307692,0.13953076923076924,-13.04676923076923,0.06693076923076922,116.09330769230769,0.5397615384615384
Metal,11,2006.5454545454545,56.18181818181818,301762.7272727273,0.09446587272727275,0.42099999999999993,0.7373636363636362,0.00050526,0.15109999999999998,-5.858818181818182,0.0394,106.60972727272728,0.3579090909090909
Other,152,1992.921052631579,47.671052631578945,258372.5,0.30690848355263173,0.5910263157894737,0.6061381578947366,0.09830220118421049,0.21104671052631582,-8.703914473684208,0.06788684210526315,117.06301973684204,0.49176184210526325
Pop,252,2001.0357142857142,63.57539682539682,260928.45634920636,0.3221412777777777,0.5868174603174603,0.6032337301587299,0.04599011888888887,0.17434722222222224,-7.438420634920631,0.05865753968253967,118.12129365079362,0.45262579365079353
Punk,1,1995.0,60.0,278199.0,0.698,0.43,0.295,0.569,0.226,-14.255,0.0283,74.014,0.159
Reggae,5,1990.8,59.8,221498.2,0.156054,0.8096,0.4516,0.16406778000000002,0.14444,-11.804599999999999,0.06000000000000001,124.08960000000002,0.7344
Rock,1458,1986.783950617284,55.13923182441701,265655.646090535,0.28176687748285295,0.5125562414266119,0.598199382716049,0.04970550609053489,0.20797270233196152,-9.280690672153641,0.0469551440329218,120.49062208504824,0.49422434842249746
Singer-songwriter,2,1996.0,61.0,246600.0,0.636,0.41000000000000003,0.2787,0.07866,0.10264999999999999,-14.1685,0.03565,124.406,0.191
Soul,47,1979.5106382978724,63.659574468085104,230952.25531914894,0.3022689361702127,0.6130425531914894,0.5385234042553192,0.03263386425531915,0.15917021276595741,-9.932893617021275,0.0567468085106383,114.15763829787235,0.613212765957447
Soundtrack,1,1968.0,52.0,223120.0,0.836,0.123,0.214,0.676,0.13,-10.946,0.037,90.408,0.0451
