genre,size,release_year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,2,1971.5,37.5,249679.5,0.2878,0.687,0.676,0.004865,0.28855000000000003,-8.975000000000001,0.0461,112.679,0.6105
Chanson,14,1967.7142857142858,42.57142857142857,197762.57142857142,0.5830714285714286,0.42578571428571416,0.42364285714285715,0.00781168,0.23754999999999998,-10.307000000000002,0.04195714285714286,114.859,0.5245714285714287
Classic rock,611,1973.4697217675941,55.47790507364975,249033.25204582652,0.322826623895254,0.5325073649754496,0.5831230769230767,0.05738486679214402,0.18742635024549892,-9.986171849427175,0.046481014729950906,121.62776759410801,0.5872657937806872
Country,4,1973.0,53.25,188109.75,0.68725,0.57975,0.43325,5.325e-05,0.3825,-11.0055,0.076725,112.16675000000001,0.7295
Disco,13,1980.1538461538462,49.07692307692308,283842.3846153846,0.13869515384615386,0.712,0.7705384615384616,0.13430155538461538,0.20928461538461537,-8.963846153846152,0.06926153846153847,126.01207692307693,0.7494615384615385
Dutch rock,174,1983.7471264367816,28.689655172413794,240702.04022988505,0.3678926494252875,0.5157298850574712,0.5317293103448275,0.018077168045977008,0.2760298850574712,-10.810931034482767,0.05563275862068967,115.96609770114942,0.49577471264367806
Electronica/dance,1,1979.0,20.0,93373.0,1.3e-05,0.187,0.993,0.0229,0.421,-2.747,0.116,102.145,0.0666
Folk,13,1968.4615384615386,37.23076923076923,208846.84615384616,0.6549623076923078,0.46299999999999997,0.4094923076923077,0.009231265384615384,0.2063153846153846,-10.767230769230768,0.059300000000000005,111.55815384615383,0.5413846153846155
House,1,1978.0,6.0,199863.0,0.00705,0.658,0.808,0.332,0.255,-8.546,0.0349,129.983,0.298
Jazz,12,1972.25,52.0,241669.5,0.7948333333333335,0.4995833333333333,0.274825,0.10871357416666667,0.21575,-14.55475,0.04526666666666667,114.39416666666666,0.4543333333333335
Karaoke,14,1973.0,1.8571428571428572,204194.85714285713,0.20530142857142855,0.5564285714285714,0.4725714285714287,0.666107142857143,0.20529285714285717,-12.986142857142857,0.03834285714285714,126.87407142857144,0.5724285714285715
Nederpop,55,1971.7818181818182,23.145454545454545,218436.8,0.3177298181818182,0.4672909090909091,0.585109090909091,0.0723862230909091,0.23145818181818179,-9.434836363636364,0.044656363636363626,123.28623636363639,0.5776909090909093
Other,260,1976.1692307692308,33.51923076923077,233033.0,0.39660605423076956,0.5357311538461538,0.5322380769230769,0.09597869353846156,0.2130323076923076,-10.505903846153846,0.04711076923076922,116.59153461538462,0.5492619230769229
Pop,152,1981.6381578947369,51.44078947368421,252253.36184210525,0.3952879605263159,0.5716315789473683,0.5718782894736837,0.046101842039473685,0.18783552631578948,-9.142282894736843,0.044590131578947395,121.23457894736842,0.5323960526315791
Reggae,7,1985.142857142857,56.0,260043.57142857142,0.11722428571428571,0.8028571428571427,0.5698571428571428,0.12509315714285715,0.12648571428571428,-11.274999999999997,0.05662857142857144,123.13628571428572,0.8587142857142858
Rock,235,1981.268085106383,51.38723404255319,259772.3063829787,0.31237129489361704,0.5494595744680851,0.5727906382978727,0.050716492297872326,0.19496893617021271,-9.854995744680851,0.04511787234042553,117.77808510638295,0.5494046808510639
Rock-and-roll,81,1963.7654320987654,47.96296296296296,164045.13580246913,0.5122866666666667,0.5204691358024691,0.5363604938271606,0.08597283061728395,0.2442654320987654,-9.826432098765432,0.04766913580246914,115.46248148148149,0.672246913580247
Singer-songwriter,3,1976.3333333333333,34.0,192711.0,0.7000000000000001,0.5803333333333334,0.3993333333333333,0.04061666666666667,0.1458,-12.430000000000001,0.031033333333333333,107.695,0.4376666666666667
Soft rock,253,1979.9841897233202,54.952569169960476,246085.23320158102,0.36195747035573106,0.5524861660079052,0.5310446640316204,0.012279544703557313,0.17412727272727271,-10.490138339920941,0.0403770750988142,117.1586482213439,0.5381395256917
Soul,61,1973.1311475409836,57.540983606557376,235248.83606557376,0.34115377049180323,0.631327868852459,0.5393278688524593,0.038419618360655744,0.1719672131147541,-10.814344262295085,0.05797704918032788,114.24818032786888,0.687737704918033
