genre,size,year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,1,1977.0,40.0,304533.0,0.0756,0.86,0.666,0.00973,0.0501,-8.492,0.0375,98.296,0.473
Chanson,10,1965.4,47.8,202320.9,0.6434000000000001,0.41039999999999993,0.41259999999999997,0.010612291999999999,0.24627,-9.487799999999998,0.04303,114.38600000000001,0.5211999999999999
Classical,2,1992.5,14.0,271793.0,0.8285,0.4895,0.174,0.3005,0.178,-15.865,0.035949999999999996,91.70150000000001,0.3125
Country,4,1976.75,64.0,190363.0,0.63075,0.58725,0.49124999999999996,0.00010999999999999999,0.2712,-9.7105,0.0675,113.03525000000002,0.63225
Disco,5,1982.2,55.8,242031.6,0.25308,0.7772,0.7584,0.03506326,0.27335999999999994,-9.241200000000001,0.10635999999999998,126.45599999999999,0.7432000000000001
Dutch cabaret,2,1993.5,10.5,267858.0,0.7945,0.546,0.358,0.01505,0.09784999999999999,-13.3455,0.0573,124.03200000000001,0.39825
Electronica/dance,4,1993.25,45.25,263963.0,0.00088575,0.4145,0.8017500000000001,0.19310000000000002,0.30615,-6.641,0.05475,108.73025000000001,0.186675
Folk,5,1973.0,47.8,292317.0,0.491662,0.42800000000000005,0.545,0.024200621999999998,0.22022,-8.393,0.08416000000000001,131.2606,0.45600000000000007
Hip-hop,8,2001.875,57.5,247770.75,0.25561125,0.59125,0.621375,0.299440875,0.2036125,-9.463250000000002,0.03635,116.76050000000001,0.413375
House,4,1997.0,53.0,288528.25,0.0172525,0.69425,0.78275,0.3052507325,0.18520000000000003,-6.923,0.086925,125.9795,0.43975
Jazz,9,1986.2222222222222,56.111111111111114,272694.3333333333,0.7733333333333333,0.4963333333333334,0.24896666666666667,0.01208489,0.22755555555555557,-14.561555555555556,0.03635555555555556,127.15077777777778,0.4404444444444444
Karaoke,15,1989.2,2.8666666666666667,221649.66666666666,0.273144,0.6046666666666667,0.4403533333333334,0.6161800000000001,0.17777999999999997,-13.156266666666665,0.04412,112.456,0.5145266666666666
Metal,4,2003.75,58.5,302246.25,0.2358,0.39525,0.5702499999999999,0.0007865,0.14615,-6.6442499999999995,0.03105,94.8645,0.32149999999999995
Neo mellow,1,2005.0,62.0,183720.0,0.22,0.765,0.535,2.55e-05,0.104,-7.229,0.0265,105.019,0.548
Other,175,1987.1885714285713,39.29142857142857,247298.46857142856,0.345062708,0.550596,0.5583200000000001,0.10237866399999998,0.2207982857142857,-9.592434285714283,0.049512,113.74457714285717,0.5031314285714289
Pop,236,1996.5084745762713,57.860169491525426,261811.49152542374,0.34539352542372875,0.5794533898305085,0.5978919491525425,0.04095764288135593,0.1682686440677965,-7.830156779661013,0.049508898305084745,119.89205508474585,0.47138983050847455
Punk,2,1988.5,47.5,244703.5,0.38875,0.4505,0.33699999999999997,0.46199999999999997,0.1735,-13.833,0.03095,105.17849999999999,0.105
Reggae,7,1984.2857142857142,55.285714285714285,242514.0,0.08536714285714285,0.8044285714285714,0.5398571428571428,0.11827887142857144,0.12378571428571429,-11.605999999999998,0.10122857142857145,121.29771428571429,0.859
Rock,1433,1984.4103279832518,52.80321004884857,261846.36566643405,0.3028261906769013,0.5172421493370545,0.5834048848569432,0.05053841218422893,0.20743810188415915,-9.51217376133985,0.04502951849267271,119.4686734124217,0.5087847871598044
Singer-songwriter,2,1984.5,43.0,201720.0,0.6034999999999999,0.402,0.405,0.004385,0.17265,-11.5125,0.0303,130.50549999999998,0.239
Soul,53,1976.7735849056603,60.43396226415094,230644.54716981133,0.32954867924528314,0.6308301886792452,0.5575905660377359,0.04385062113207546,0.18826981132075474,-10.140490566037734,0.0606377358490566,114.37492452830189,0.6430094339622642
Soundtrack,2,1969.0,33.5,205673.0,0.6425,0.3425,0.2625,0.338,0.1335,-13.84,0.03675,102.844,0.13505
