genre,size,year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,1,1977.0,40.0,304533.0,0.0756,0.86,0.666,0.00973,0.0501,-8.492,0.0375,98.296,0.473
Chanson,12,1967.1666666666667,43.833333333333336,196608.5,0.6066666666666666,0.43449999999999994,0.43883333333333335,0.00884596,0.26375,-9.692666666666668,0.042133333333333335,114.25291666666665,0.5494166666666667
Classical,2,1992.5,14.0,271793.0,0.8285,0.4895,0.174,0.3005,0.178,-15.865,0.035949999999999996,91.70150000000001,0.3125
Country,5,1979.0,57.4,193794.4,0.6796,0.5706,0.425,8.8e-05,0.32496,-10.3316,0.06672,107.8092,0.6162
Disco,3,1983.6666666666667,54.0,247030.66666666666,0.24826666666666666,0.7760000000000001,0.7163333333333334,0.00010543333333333333,0.3686333333333333,-10.182666666666668,0.09443333333333333,129.867,0.7503333333333334
Dutch cabaret,3,1987.3333333333333,12.666666666666666,253572.0,0.6699999999999999,0.566,0.34333333333333327,0.010033333333333333,0.17423333333333332,-13.124,0.05293333333333333,116.82533333333333,0.44650000000000006
Electronica/dance,1,1979.0,20.0,93373.0,1.3e-05,0.187,0.993,0.0229,0.421,-2.747,0.116,102.145,0.0666
Folk,8,1970.375,42.75,257558.0,0.5810387499999999,0.463875,0.491625,0.03000283125,0.2395125,-10.107375,0.071425,131.338125,0.5503750000000001
Hip-hop,2,1995.0,53.0,288366.0,0.45865,0.4595,0.6305,0.1049985,0.4225,-10.025500000000001,0.0295,104.1925,0.436
House,2,1993.0,7.0,338344.5,0.0035713,0.6595,0.724,0.36450000000000005,0.16705,-8.504,0.04695,129.9915,0.312
Jazz,12,1977.3333333333333,54.833333333333336,254402.83333333334,0.7988333333333332,0.4965833333333334,0.25272500000000003,0.03616950083333333,0.19566666666666663,-14.594416666666666,0.043125,120.2305,0.44275000000000003
Karaoke,12,1979.0,2.0,206108.75,0.3209758333333333,0.5812499999999999,0.41702500000000003,0.7250833333333334,0.171625,-13.865416666666667,0.041291666666666664,114.6735,0.522075
Metal,3,2004.3333333333333,62.666666666666664,296799.6666666667,0.30196666666666666,0.43966666666666665,0.5716666666666667,0.00029866666666666664,0.1572,-6.221666666666667,0.030633333333333335,95.68866666666668,0.3793333333333333
Neo mellow,1,2005.0,62.0,183720.0,0.22,0.765,0.535,2.55e-05,0.104,-7.229,0.0265,105.019,0.548
Other,168,1980.6964285714287,35.273809523809526,240098.7619047619,0.37518067559523804,0.5384291666666665,0.5464880952380952,0.09918137422619047,0.22257857142857143,-9.97261904761905,0.04868869047619047,115.94539285714283,0.5401238095238096
Pop,210,1988.2857142857142,51.96190476190476,257043.6380952381,0.37046033095238123,0.5716333333333335,0.5865904761904761,0.04041414457142858,0.1825533333333334,-8.540871428571423,0.043190952380952406,120.39015238095233,0.504112857142857
Punk,2,1988.5,47.5,244703.5,0.38875,0.4505,0.33699999999999997,0.46199999999999997,0.1735,-13.833,0.03095,105.17849999999999,0.105
Reggae,6,1981.6666666666667,55.166666666666664,228179.66666666666,0.15454500000000002,0.8366666666666666,0.5369999999999999,0.14466535,0.12558333333333335,-10.080833333333333,0.11536666666666667,110.95716666666668,0.8493333333333334
Rock,1459,1981.0137080191912,50.71418779986292,253636.05003427004,0.3242508575188488,0.5236936257710749,0.5749448937628518,0.04853101397532552,0.20921336531871165,-9.799526387936956,0.045446812885538125,119.39259218642901,0.5315515421521579
Singer-songwriter,3,1982.0,44.333333333333336,193457.66666666666,0.646,0.49466666666666675,0.4756666666666667,0.02539,0.1551,-9.624666666666666,0.0328,127.45566666666666,0.3393333333333333
Soul,56,1974.375,58.964285714285715,230150.4107142857,0.36761928571428576,0.6140714285714283,0.5229875,0.057343451428571446,0.177975,-10.568017857142857,0.05594464285714286,117.96003571428574,0.6280446428571428
Soundtrack,2,1969.0,33.5,205673.0,0.6425,0.3425,0.2625,0.338,0.1335,-13.84,0.03675,102.844,0.13505
