genre,size,year,popularity,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blues,1,1977.0,40.0,304533.0,0.0756,0.86,0.666,0.00973,0.0501,-8.492,0.0375,98.296,0.473
British invasion,1,1966.0,17.0,192626.0,0.203,0.454,0.689,0.000202,0.305,-8.858,0.0263,98.102,0.684
Chanson,16,1967.5625,42.9375,194923.0,0.5516,0.4434999999999999,0.438625,0.00663562625,0.24660624999999997,-9.9373125,0.04181875,113.98556249999999,0.5486875
Classical,1,2002.0,0.0,253560.0,0.902,0.372,0.111,0.418,0.106,-15.209,0.0452,78.311,0.253
Country,6,1978.5,49.166666666666664,194159.83333333334,0.6891666666666666,0.5405000000000001,0.4015,0.0002105,0.3105,-10.399333333333333,0.061516666666666664,115.66183333333333,0.5905000000000001
Disco,6,1980.6666666666667,47.5,242521.83333333334,0.23301666666666668,0.7214999999999999,0.7688333333333334,0.06558938333333332,0.27326666666666666,-9.009833333333335,0.09836666666666666,123.08833333333332,0.733
Dutch cabaret,3,1987.3333333333333,12.666666666666666,253572.0,0.6699999999999999,0.566,0.34333333333333327,0.010033333333333333,0.17423333333333332,-13.124,0.05293333333333333,116.82533333333333,0.44650000000000006
Electronica/dance,1,1979.0,20.0,93373.0,1.3e-05,0.187,0.993,0.0229,0.421,-2.747,0.116,102.145,0.0666
Folk,11,1967.7272727272727,39.36363636363637,207043.27272727274,0.6037736363636363,0.48863636363636365,0.4655454545454546,0.01082465909090909,0.20155454545454543,-9.809545454545455,0.06261818181818182,117.17954545454545,0.5916363636363637
Hip-hop,1,1999.0,45.0,268306.0,0.878,0.327,0.426,0.000997,0.18,-11.576,0.027,93.949,0.169
House,1,1978.0,6.0,199863.0,0.00705,0.658,0.808,0.332,0.255,-8.546,0.0349,129.983,0.298
Jazz,14,1973.642857142857,54.642857142857146,244088.14285714287,0.8038571428571428,0.46864285714285714,0.26062142857142856,0.03813100071428572,0.20214285714285712,-14.00792857142857,0.04182142857142857,114.37414285714286,0.41850000000000004
Karaoke,15,1974.0666666666666,1.8666666666666667,202403.0,0.30051466666666665,0.5748666666666666,0.4158866666666666,0.6877800000000001,0.19443333333333337,-13.6496,0.039,116.2816,0.5291266666666666
Metal,2,2002.5,58.5,296406.5,0.44235,0.3095,0.4255,0.000448,0.188,-7.518,0.0318,92.03450000000001,0.1255
Other,197,1978.3248730964467,33.2994923857868,241569.1624365482,0.4107408375634518,0.5393812182741117,0.5288883248730963,0.10267431421319796,0.22092131979695437,-10.283106598984775,0.04997309644670049,115.57296954314715,0.5419329949238579
Pop,208,1983.3990384615386,45.04326923076923,242676.69711538462,0.3886761971153846,0.5463942307692308,0.5819230769230767,0.02773186658653846,0.20433173076923067,-8.936735576923082,0.042880769230769215,119.5103028846154,0.5358653846153841
Punk,2,1988.5,47.5,244703.5,0.38875,0.4505,0.33699999999999997,0.46199999999999997,0.1735,-13.833,0.03095,105.17849999999999,0.105
Reggae,6,1986.1666666666667,56.666666666666664,250004.16666666666,0.06142833333333333,0.8056666666666666,0.5341666666666667,0.1379920166666667,0.13438333333333333,-12.328999999999999,0.05593333333333334,128.48350000000002,0.8664999999999999
Rock,1407,1978.8763326226012,50.67164179104478,250680.8933901919,0.34475405543710047,0.5231172707889116,0.5612955934612651,0.04769413108742001,0.2053144989339021,-10.001753375977264,0.04557078891258002,118.96550461975833,0.5371302771855002
Singer-songwriter,3,1982.0,44.333333333333336,193457.66666666666,0.646,0.49466666666666675,0.4756666666666667,0.02539,0.1551,-9.624666666666666,0.0328,127.45566666666666,0.3393333333333333
Soul,62,1973.225806451613,58.46774193548387,228116.5483870968,0.3868722580645162,0.5939354838709674,0.5276822580645162,0.052350901451612905,0.16773225806451617,-10.711064516129033,0.0570241935483871,114.20900000000002,0.6283145161290321
Soundtrack,2,1969.0,33.5,205673.0,0.6425,0.3425,0.2625,0.338,0.1335,-13.84,0.03675,102.844,0.13505
