titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,id
Let It Be,Beatles,1970,27.0,37.0,40.0,47.0,23.0,41.0,55.0,58.0,57.0,49.0,54.0,46.0,56.0,52.0,39.0,50.0,51.0,68.0,79.0,53.0,7iN1s7xHE4ifF5povM6A48
Brothers In Arms,Dire Straits,1985,28.0,22.0,7.0,9.0,11.0,15.0,19.0,20.0,19.0,13.0,21.0,19.0,15.0,11.0,11.0,14.0,15.0,19.0,17.0,15.0,26tWBbtjvgi0tipRL2VQ2X
Sympathy For The Devil,Rolling Stones,1973,29.0,34.0,44.0,28.0,14.0,26.0,38.0,45.0,59.0,38.0,43.0,43.0,46.0,50.0,35.0,37.0,46.0,60.0,51.0,49.0,1Ud6moTC0KyXMq1Oxfien0
Who Wants To Live Forever,Queen,1986,30.0,23.0,34.0,22.0,45.0,50.0,74.0,74.0,120.0,62.0,77.0,87.0,94.0,134.0,100.0,100.0,99.0,86.0,107.0,74.0,00QAndVDVfNqNWYdWAhEan
Everybody Hurts,R.E.M.,1993,31.0,,50.0,61.0,58.0,61.0,58.0,66.0,99.0,68.0,76.0,66.0,59.0,101.0,122.0,138.0,138.0,140.0,144.0,166.0,6PypGyiu0Y2lCDBN1XZEnP
Over De Muur,Klein Orkest,1984,32.0,38.0,54.0,50.0,59.0,56.0,48.0,47.0,64.0,52.0,47.0,56.0,83.0,71.0,84.0,60.0,76.0,81.0,45.0,60.0,2jV28FCpmVQNbgcC5a5D7A
Paint It Black,Rolling Stones,1966,33.0,48.0,62.0,60.0,54.0,54.0,68.0,57.0,107.0,63.0,65.0,63.0,82.0,43.0,49.0,57.0,50.0,61.0,67.0,48.0,63T7DJ1AFDD6Bn8VzG6JE8
Africa,Toto,1982,34.0,49.0,33.0,39.0,52.0,63.0,70.0,75.0,110.0,66.0,100.0,97.0,87.0,62.0,28.0,51.0,42.0,30.0,25.0,8.0,2374M0fQpWi3dLnB54qaLX
The Winner Takes It All,ABBA,1980,35.0,92.0,106.0,103.0,77.0,133.0,113.0,140.0,94.0,107.0,121.0,104.0,176.0,201.0,197.0,135.0,174.0,165.0,192.0,176.0,2HeTmGTjl870ucJ8mF7zl5
Het Dorp,Wim Sonneveld,1974,36.0,32.0,39.0,38.0,48.0,47.0,44.0,29.0,53.0,42.0,40.0,40.0,57.0,69.0,36.0,39.0,45.0,55.0,62.0,64.0,4HWOyz21zZDbHe3mMukrFJ
Candle In The Wind '97,Elton John,1997,37.0,80.0,293.0,405.0,424.0,372.0,429.0,357.0,376.0,351.0,610.0,475.0,650.0,806.0,777.0,899.0,816.0,888.0,892.0,1038.0,0P5vVASbVxf54XSUY1WCMq
Kayleigh,Marillion,1985,38.0,55.0,68.0,73.0,66.0,103.0,121.0,115.0,154.0,111.0,173.0,198.0,217.0,159.0,174.0,163.0,172.0,191.0,173.0,195.0,1Dsd1Nu06UbNmelEhPxKgB
No Woman No Cry (Live),Bob Marley & The Wailers,1975,39.0,63.0,92.0,93.0,75.0,70.0,93.0,113.0,79.0,86.0,106.0,54.0,79.0,141.0,156.0,233.0,270.0,223.0,257.0,269.0,423hwXFgoN8RYmqLoLuVvY
Testament,Boudewijn De Groot,1967,40.0,41.0,51.0,31.0,31.0,31.0,31.0,42.0,54.0,39.0,86.0,92.0,130.0,170.0,202.0,211.0,249.0,247.0,277.0,256.0,6J1orzdlXIAZOlZl21SWY6
My Heart Will Go On,Celine Dion,1998,41.0,89.0,209.0,238.0,354.0,334.0,400.0,419.0,326.0,337.0,559.0,562.0,637.0,598.0,849.0,922.0,828.0,1129.0,1243.0,978.0,33LC84JgLvK2KuW43MfaNq
I'm Not In Love,10cc,1975,42.0,53.0,27.0,53.0,50.0,64.0,71.0,95.0,60.0,64.0,138.0,437.0,154.0,272.0,404.0,290.0,368.0,372.0,247.0,473.0,5HQEmiV2lKnSO6qa2fsR7x
When The Lady Smiles,Golden Earring,1984,43.0,52.0,84.0,89.0,98.0,96.0,81.0,111.0,165.0,109.0,136.0,135.0,138.0,177.0,146.0,161.0,161.0,115.0,119.0,142.0,6RGmi17H0xpHb7hpMxFwip
Niet Of Nooit Geweest,Acda & De Munnik,1998,44.0,40.0,48.0,36.0,74.0,87.0,94.0,150.0,108.0,93.0,272.0,243.0,254.0,447.0,542.0,479.0,435.0,486.0,550.0,667.0,4439gDsZasiXC4mGpw6yJc
Summer Of '69,Bryan Adams,1984,45.0,43.0,94.0,51.0,57.0,59.0,88.0,109.0,98.0,77.0,139.0,131.0,107.0,145.0,167.0,197.0,147.0,150.0,145.0,148.0,0GONea6G2XdnHWjNZd6zt3
Bright Eyes,Art Garfunkel,1979,46.0,51.0,53.0,100.0,137.0,120.0,154.0,222.0,140.0,136.0,347.0,223.0,281.0,455.0,470.0,631.0,596.0,624.0,612.0,698.0,3Jy0dWV5AnnfyTvHK6UWof
The Rose,Bette Midler,1980,47.0,35.0,30.0,43.0,44.0,36.0,32.0,34.0,24.0,27.0,33.0,29.0,35.0,86.0,105.0,85.0,100.0,94.0,97.0,177.0,562JrM9b7jiu8LgzV62x3o
The River,Bruce Springsteen,1981,48.0,33.0,26.0,19.0,30.0,20.0,27.0,40.0,11.0,21.0,30.0,30.0,10.0,15.0,7.0,16.0,17.0,14.0,19.0,21.0,7HrzErXq3TsKOY1gmdIShB
The Sound Of Silence,Simon & Garfunkel,1966,49.0,71.0,61.0,64.0,76.0,85.0,101.0,81.0,153.0,92.0,82.0,74.0,58.0,70.0,32.0,42.0,44.0,23.0,28.0,26.0,5y788ya4NvwhBznoDIcXwK
Thank You For The Music,ABBA,1978,50.0,201.0,264.0,267.0,248.0,210.0,170.0,243.0,137.0,178.0,284.0,310.0,409.0,374.0,460.0,376.0,401.0,378.0,432.0,438.0,1HNWHQqLxjI2LXnlIY9DTR
With Or Without You,U2,1987,51.0,26.0,52.0,35.0,40.0,38.0,47.0,48.0,48.0,46.0,62.0,62.0,86.0,53.0,47.0,45.0,56.0,59.0,41.0,52.0,6ADSaE87h8Y3lccZlBJdXH
Good Vibrations,Beach Boys,1966,52.0,54.0,75.0,83.0,85.0,73.0,91.0,117.0,68.0,83.0,98.0,105.0,116.0,245.0,265.0,253.0,313.0,217.0,221.0,448.0,5t9KYe0Fhd5cW6UYT4qP8f
Whole Lotta Rosie,AC/DC,1978,53.0,29.0,15.0,13.0,19.0,17.0,21.0,33.0,12.0,18.0,17.0,28.0,34.0,45.0,64.0,43.0,53.0,73.0,59.0,73.0,4wYq5wugZDzQiMZQYG4wVB
Purple Rain,Prince & The Revolution,1984,54.0,90.0,160.0,120.0,160.0,104.0,152.0,126.0,148.0,132.0,169.0,79.0,80.0,74.0,77.0,71.0,62.0,13.0,18.0,25.0,5dYJT6qthbXYz2A1tanERP
(Everything I Do) I Do It For You,Bryan Adams,1991,55.0,69.0,63.0,131.0,128.0,153.0,220.0,208.0,229.0,166.0,483.0,459.0,469.0,197.0,581.0,660.0,593.0,784.0,787.0,703.0,6eBK3edMW7bEzecF1eCezc
I Put A Spell On You,Creedence Clearwater Revival,1972,56.0,36.0,38.0,54.0,53.0,49.0,56.0,60.0,61.0,54.0,83.0,53.0,77.0,132.0,152.0,143.0,152.0,148.0,157.0,190.0,4SDywo3ykB2PEthjXvo1UP
Private Investigations,Dire Straits,1982,57.0,19.0,14.0,7.0,17.0,24.0,29.0,31.0,35.0,25.0,37.0,36.0,47.0,49.0,66.0,70.0,67.0,67.0,69.0,80.0,4JiJGjJXFQECKLJR5De7Pj
Pride (In The Name Of Love),U2,1984,58.0,47.0,130.0,126.0,182.0,125.0,140.0,137.0,171.0,135.0,217.0,250.0,253.0,239.0,283.0,347.0,294.0,362.0,419.0,258.0,3dh2LlmeMqKJbzn2WUgt3d
Space Oddity,David Bowie,1969,59.0,75.0,144.0,104.0,135.0,78.0,191.0,205.0,278.0,156.0,156.0,185.0,202.0,205.0,161.0,130.0,139.0,38.0,76.0,81.0,72Z17vmmeQKAg8bptWvpVG
Light My Fire,Doors,1967,60.0,99.0,129.0,113.0,96.0,126.0,157.0,166.0,218.0,143.0,201.0,222.0,203.0,196.0,229.0,289.0,357.0,377.0,404.0,529.0,5uvosCdMlFdTXhoazkTI5R
Sebastian,Cockney Rebel,1973,61.0,84.0,49.0,76.0,90.0,92.0,116.0,146.0,151.0,120.0,191.0,172.0,170.0,244.0,334.0,377.0,414.0,495.0,566.0,784.0,16889jRQ2uzOeDSHaMRLIw
Dreadlock Holiday,﻿10cc,1978,62.0,61.0,43.0,45.0,41.0,52.0,59.0,61.0,37.0,47.0,113.0,303.0,91.0,214.0,298.0,192.0,285.0,261.0,223.0,528.0,1LOZMYF5s8qhW7Rv4w2gun
Halo Of Flies,Alice Cooper,1973,63.0,24.0,19.0,21.0,35.0,39.0,57.0,78.0,56.0,51.0,91.0,85.0,109.0,167.0,191.0,209.0,253.0,288.0,268.0,452.0,26uVP8g7Uijo0zuN22De3x
Go Your Own Way,Fleetwood Mac,1977,64.0,67.0,73.0,71.0,69.0,79.0,77.0,94.0,102.0,85.0,63.0,67.0,71.0,81.0,41.0,30.0,40.0,43.0,33.0,42.0,4xh7W7tlNMIczFhupCPniY
Stil In Mij,Van Dik Hout,1994,65.0,70.0,85.0,49.0,38.0,35.0,53.0,50.0,58.0,48.0,59.0,51.0,52.0,92.0,95.0,91.0,86.0,93.0,95.0,130.0,3xOiF0xnt47PgOwprICudF
Ne Me Quitte Pas,Jacques Brel,1965,66.0,195.0,134.0,133.0,101.0,113.0,86.0,82.0,88.0,90.0,94.0,72.0,118.0,130.0,93.0,150.0,156.0,174.0,217.0,278.0,6IRA4KOVbtiGiTdYoEThJN
Wuthering Heights,Kate Bush,1978,67.0,77.0,96.0,95.0,116.0,93.0,99.0,119.0,111.0,102.0,101.0,102.0,132.0,144.0,164.0,117.0,128.0,118.0,120.0,126.0,5YSI1311X8t31PBjkBG4CZ
Paranoid,Black Sabbath,1970,68.0,,79.0,52.0,42.0,58.0,96.0,124.0,105.0,80.0,112.0,114.0,103.0,88.0,71.0,104.0,123.0,113.0,111.0,133.0,1Y373MqadDRtclJNdnUXVc
