titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,id
I'm A Train,Albert Hammond,1974,1004.0,,632.0,703.0,900.0,860.0,947.0,1241.0,1411.0,1073.0,1709.0,1303.0,1402.0,,,,,,,,2ch9sJo62ctT2meP4xz6pd
Let's Stick Together,Bryan Ferry,1976,1005.0,610.0,1181.0,923.0,859.0,714.0,963.0,1171.0,1155.0,974.0,1273.0,1217.0,1462.0,1742.0,1796.0,1638.0,,1857.0,1739.0,,51lgEmwcS5wey53CBqsv4x
The Legend Of Xanadu,Dave Dee Dozy Beaky Mick & Tich,1968,1006.0,841.0,1070.0,1047.0,1742.0,1063.0,1261.0,1256.0,1544.0,1313.0,1333.0,1560.0,1596.0,,,,,,,,4DYp1pEg6ebDJkChzvxjOi
Tuesday Afternoon,Moody Blues,1968,1007.0,,821.0,404.0,598.0,554.0,616.0,553.0,870.0,621.0,630.0,661.0,777.0,933.0,713.0,842.0,1152.0,1569.0,1820.0,1363.0,31pi9vJJWHZxygk8AoGd0d
You Were My Friend,Chi Coltrane,1973,1008.0,943.0,544.0,448.0,1021.0,948.0,957.0,1348.0,1006.0,999.0,1159.0,1148.0,1578.0,,1711.0,1920.0,,,,,4KWmjXvXy06zTDohqdD1Jy
All Or Nothing,Small Faces,1966,1009.0,1243.0,1031.0,1212.0,1412.0,1177.0,1162.0,1157.0,1564.0,1266.0,1283.0,1526.0,1621.0,1756.0,1651.0,,,,,,7u8P7Z4FCF6oXs0aXA7K89
Diana,Paul Anka,1957,1010.0,1063.0,1708.0,1482.0,1299.0,1650.0,1602.0,1468.0,1803.0,1559.0,,1930.0,,,,,,,,,2k6qpHJsrKCCyvsHv2cPqR
My Friend The Wind,Demis Roussos,1973,1011.0,1077.0,571.0,795.0,887.0,844.0,808.0,800.0,912.0,805.0,1210.0,1147.0,1308.0,1754.0,1713.0,1823.0,1739.0,,,,4AAlpkbWP0nhCD7gWE3zSG
If I Had A Hammer,Trini Lopez,1963,1012.0,,1795.0,1861.0,1341.0,1614.0,1721.0,1816.0,1815.0,1696.0,,,,,,,,,,,2dAsVQi6Z1KP9Y0Ccb4fPI
That'll Be The Day,Buddy Holly,1957,1013.0,971.0,952.0,1075.0,580.0,1147.0,1113.0,1146.0,1483.0,1095.0,1678.0,1593.0,1781.0,1900.0,1901.0,,,,,,50RwvvEKX5Q7AZt8FTAwIF
I Hope I Never,Split Enz,1981,1014.0,,894.0,1106.0,1345.0,1347.0,1503.0,1503.0,1742.0,1490.0,1812.0,1789.0,1979.0,,,,,,,,6AQvyR2ASOXyJdjzUfxNc2
Willempie,André van Duin,1976,1015.0,,,1776.0,,1579.0,,,1833.0,,,,,,,,,,,,0ThM4uOMV4nBf3q2DnElwy
All Night Long (All Night),Lionel Richie,1983,1016.0,1129.0,1104.0,1363.0,1701.0,1464.0,1688.0,1451.0,,1780.0,1864.0,1849.0,,1505.0,,,,,,1677.0,2Wb9ejnmy27DUTUe9YF5Ew
Happy Together,The Turtles,1967,1017.0,1376.0,1507.0,1566.0,1192.0,1289.0,1387.0,1416.0,1619.0,1405.0,1685.0,1808.0,,,1891.0,,,,,,1JO1xLtVc8mWhIoE3YaCL0
A Good Heart,Feargal Sharkey,1985,1018.0,766.0,1059.0,943.0,1465.0,1406.0,1575.0,1522.0,1534.0,1437.0,1786.0,1722.0,1631.0,1188.0,1855.0,1926.0,,,,,4umQbcdBF3YVsNBvvnFLiX
High,Lighthouse Family,1998,1019.0,1101.0,,1040.0,1076.0,1438.0,1646.0,1874.0,,1825.0,,1944.0,,,,,,,,,6NhZT2UfbSBlIusCpYGOG3
Reach Out I'll Be There,Four Tops,1966,1020.0,1351.0,1663.0,1557.0,1177.0,1451.0,1489.0,1596.0,1890.0,1556.0,1525.0,1573.0,1959.0,1967.0,1664.0,1898.0,,,,,6Pkj4nv5K53i64cLVgkVyY
I Want You,Bob Dylan,1966,1021.0,,1167.0,985.0,741.0,387.0,514.0,609.0,476.0,546.0,527.0,592.0,751.0,555.0,671.0,963.0,867.0,1025.0,1290.0,1335.0,7tJQ4Ekp2vN3NlI3vJJW3v
Sympathy,Steve Rowland and the Family Dogg,1970,1022.0,1473.0,1322.0,1208.0,1040.0,1412.0,1621.0,1639.0,1737.0,1520.0,,,,,,,,,,,7AgVTN8XS3hDzcM7fgNArF
Into The Groove,Madonna,1985,1023.0,1330.0,1691.0,1901.0,1693.0,1921.0,,,,,,,,,,,,,,,2m0M7YqCy4lXfedh18qd8N
This Town Ain't Big Enough For Both Of Us,Sparks,1974,1024.0,683.0,1205.0,727.0,797.0,1029.0,1077.0,1014.0,1247.0,1024.0,1298.0,1430.0,1619.0,1621.0,1717.0,1764.0,,,,,24Ja9b0r3vZDIYKfH8lTVv
All My Loving,Beatles,1964,1025.0,1362.0,1077.0,1689.0,1124.0,1098.0,1348.0,1208.0,1126.0,1184.0,1368.0,1490.0,1388.0,1043.0,1493.0,1792.0,,,,,4joiWvli4qJVEW6qZV2i2J
Cocaine,J.J. Cale,1973,1026.0,,818.0,920.0,810.0,1004.0,1007.0,673.0,865.0,811.0,735.0,682.0,729.0,875.0,585.0,766.0,1171.0,1161.0,1399.0,1567.0,3zLNgtNR8WLxMLrea31Dat
Endless Love,Diana Ross & Lionel Richie,1981,1027.0,,,,,1912.0,,,,,,,,,,,,,,,0FGxAEMIE5GhyFqFMHRWaO
Everybody's Talking,Harry Nilsson,1969,1028.0,1489.0,1494.0,1295.0,1453.0,1569.0,1821.0,1775.0,1638.0,1632.0,,,,,,,,,,,2Y77Na0xGyEAfSggwpWt4v
I Love You Because,Jim Reeves,1964,1029.0,,1632.0,,1370.0,1582.0,1353.0,1289.0,548.0,1043.0,1573.0,1653.0,1947.0,1923.0,,,,,,,771mxqxRBBAWTzBUcTJP3A
Sunny Afternoon,Kinks,1966,1030.0,600.0,826.0,884.0,990.0,909.0,1079.0,877.0,1239.0,970.0,825.0,1030.0,1080.0,1205.0,1106.0,1191.0,1567.0,1677.0,1685.0,1779.0,0DQqzCHlPyKQXfF8uL01SI
As Tears Go By,Marianne Faithfull,1964,1031.0,,1251.0,1287.0,978.0,1060.0,1248.0,914.0,1096.0,1049.0,1105.0,1194.0,1237.0,1271.0,1487.0,1698.0,,,,,2EYXCRp63iQdmeKHXN8Rrg
Gute Nacht Freunde,Reinhard Mey,1974,1032.0,1494.0,1634.0,1398.0,1384.0,1329.0,1402.0,1293.0,1618.0,1402.0,1243.0,1388.0,1416.0,1604.0,1341.0,1560.0,1628.0,1441.0,1619.0,1601.0,2XoSeNKncfKLbymRPpdLPx
How Am I Supposed To Live Without You,Michael Bolton,1990,1033.0,,,,1813.0,1839.0,,,,,,,,,,,,,,,3RMeOetCdXttthQK0clPuz
Just The Way You Are,Billy Joel,1978,1034.0,1444.0,769.0,1207.0,1176.0,1140.0,954.0,1161.0,921.0,1034.0,1446.0,1055.0,1431.0,1672.0,1530.0,1505.0,1836.0,1964.0,1868.0,1848.0,49MHCPzvMLXhRjDantBMVH
Kiss You All Over,Exile,1978,1035.0,925.0,1130.0,1125.0,1258.0,1377.0,1508.0,1684.0,,1775.0,1639.0,1691.0,,,,,,,,,3FGcQkWQlkeB82RdZwlw8V
No Regrets,The Walker Brothers,1976,1036.0,706.0,639.0,851.0,1083.0,1031.0,1067.0,1248.0,1292.0,1136.0,989.0,1050.0,1075.0,1627.0,1648.0,1329.0,1614.0,1837.0,1948.0,,6hzqAmGSQv3Sb5tY0WB8RA
Ritme Van De Regen,Rob de Nijs,1963,1037.0,1287.0,1074.0,1608.0,1166.0,1612.0,1481.0,1429.0,1798.0,1505.0,,,,,,,,,,,4K3qmwkLZ5MpVM29ShbkDr
Poppa Joe,Sweet,1972,1038.0,491.0,113.0,1260.0,915.0,978.0,1019.0,1255.0,1962.0,1122.0,1890.0,1926.0,,,,,,,,,5A4PMHqitYGOHDrSc4BqQW
Wild Places,Duncan Browne,1979,1039.0,646.0,809.0,720.0,773.0,726.0,595.0,998.0,905.0,787.0,1340.0,1224.0,1369.0,1201.0,1100.0,1179.0,1256.0,1560.0,1694.0,,
Maybe Tomorrow Maybe Tonight,Earth & Fire,1973,1040.0,,772.0,863.0,881.0,1156.0,1271.0,1286.0,1521.0,1223.0,1300.0,1187.0,1531.0,1866.0,1957.0,1923.0,,,,,0aWCKeYVyhcaT3lDJevKg8
All By Myself,Eric Carmen,1976,1041.0,1156.0,1374.0,1251.0,1448.0,,1712.0,,,,,,,,,,,,,,0AQqrtK1pULuwZUXhwaaDz
Do You Really Want To Hurt Me,Culture Club,1982,1042.0,1315.0,1462.0,1667.0,1659.0,1946.0,,,,,,,,,,,,,,,1I6q6nwNjNgik1Qe8Oi0Y7
Waiting For A Girl Like You,Foreigner,1982,1043.0,1015.0,886.0,1145.0,1000.0,1356.0,1498.0,1703.0,1945.0,1519.0,,1727.0,,1586.0,1912.0,1826.0,1884.0,,,,2OgVsp77En2nju8pnCieVU
Blue Bayou,Linda Ronstadt,1977,1044.0,,987.0,1430.0,1183.0,901.0,1117.0,1010.0,1177.0,1089.0,1478.0,1459.0,1701.0,1661.0,1761.0,1932.0,,,,,3zxklD2EGecZre9MjEEvIU
Come Back And Stay,Paul Young,1983,1045.0,1090.0,1554.0,1956.0,1852.0,,,,,,,,,,,,,,,,1r3YUTAwY0Y7tyV9Xcgps8
I've Got You Under My Skin,Frank Sinatra,1956,1046.0,1174.0,1409.0,1180.0,1170.0,911.0,1152.0,1288.0,1200.0,1155.0,1248.0,1267.0,1272.0,1407.0,1244.0,1390.0,1149.0,1434.0,1726.0,1858.0,3aEJMh1cXKEjgh52claxQp
One Night In Bangkok,Murray Head,1985,1047.0,1347.0,1872.0,1190.0,1521.0,1625.0,1968.0,1591.0,,1847.0,1839.0,,,,,,,,,,6erBowZaW6Ur3vNOWhS2zM
Sag Mir Wo Die Blumen Sind,Marlene Dietrich,1963,1048.0,,,1992.0,1223.0,1351.0,338.0,1116.0,1615.0,1031.0,1428.0,1761.0,1900.0,1902.0,,,,,,,79S2bCnwMRYA4twpRvmREG
Marieke,Jacques Brel,1961,1049.0,,1180.0,1131.0,808.0,1073.0,858.0,913.0,1044.0,946.0,1188.0,1487.0,1524.0,1419.0,1376.0,1574.0,1899.0,,,,5DWCNc2urdoun01KCOOpGQ
Suddenly,Billy Ocean,1985,1050.0,,1370.0,,1682.0,,,,,,,,,,,,,,,,65h7Qhxl2WfW31Bl6sjWAI
Right Next Door (Because Of Me),Robert Cray Band,1987,1051.0,967.0,1485.0,1466.0,1443.0,1594.0,1362.0,1015.0,1081.0,1195.0,1671.0,1408.0,1320.0,1224.0,1228.0,1350.0,1410.0,1475.0,1693.0,1530.0,67mzUTffcYdKgFdBj2t1rp
Spanish Eyes,Al Martino,1966,1052.0,,1030.0,820.0,1105.0,889.0,881.0,1088.0,601.0,825.0,,1648.0,,,,,,,,,55Z0KHofKqhOMIOygAVXxm
Hello Josephine,The Scorpions,1965,1053.0,1030.0,956.0,1194.0,1045.0,1228.0,1105.0,1022.0,1220.0,1118.0,1426.0,1571.0,1862.0,,,,,,,,711ttRxGbulAXf1jugf8Zc
Release Me,Engelbert Humperdinck,1967,1054.0,,1212.0,1988.0,1653.0,1424.0,1475.0,1316.0,1298.0,1398.0,,1891.0,,,,,,,,,0Si6MQzSdOyfWTy0LP5ojD
When I Fall In Love,Nat 'King' Cole,1957,1055.0,1534.0,1308.0,,1501.0,,,,,,,,,,,,,,,,0JlHhicC1HetuYgujLD9hO
Dancing With Tears In My Eyes,Ultravox,1984,1056.0,1094.0,1071.0,900.0,1053.0,1193.0,1336.0,1617.0,1698.0,1392.0,1365.0,1410.0,1637.0,1833.0,1529.0,1581.0,1718.0,1634.0,1539.0,1772.0,42l1eOB0qSkTxHdEZEhqem
Alane,Wes,1997,1057.0,,1065.0,1882.0,,1873.0,,,,,,,,,,,,,,,1Tb6iLIWF9nrHv36vD8Lwb
Follow Me,Amanda Lear,1978,1058.0,821.0,972.0,1107.0,1230.0,998.0,1178.0,1340.0,992.0,1133.0,,1762.0,,,,,,,,,2p1Cjaderx0MeKrAoHwchx
La Bamba,Ritchie Valens,1958,1059.0,,1881.0,,1763.0,,,,,,,,,,,,,,,,2aEeghgUcnu75tzcolFMfs
Why,Cats,1969,1060.0,,1108.0,1252.0,1133.0,1103.0,1211.0,842.0,1065.0,1020.0,957.0,977.0,1247.0,1554.0,1369.0,1295.0,1507.0,1792.0,,,2hgpFF3ljXqh0hrQhiAVSN
I'd Rather Go Blind,Chicken Shack,1969,1061.0,630.0,833.0,828.0,1036.0,914.0,1249.0,1441.0,1330.0,1177.0,1586.0,1718.0,1884.0,1615.0,1726.0,1853.0,1915.0,,,,7sLI41gLwuOJj0WMgRbeZt
Karma Chameleon,Culture Club,1983,1062.0,1141.0,1252.0,1461.0,,1779.0,,,,,,,,1985.0,,,,,,1938.0,2wSAWEYUHkt92X4SBAPqZE
A View To A Kill,Duran Duran,1985,1063.0,1232.0,1593.0,1230.0,1753.0,1795.0,,,,,,,,2000.0,1735.0,,1867.0,,,,6I4snLrVOrJsLdd43isc27
Zeven Dagen Lang,Bots,1976,1064.0,,750.0,589.0,683.0,719.0,597.0,883.0,581.0,669.0,1626.0,1404.0,1427.0,1366.0,1499.0,1863.0,,,,,6KsMemC3jDajWF4JNJLTzn
All Around My Hat,Steeleye Span,1976,1065.0,1242.0,751.0,1134.0,1403.0,1324.0,1441.0,1589.0,1650.0,1453.0,,,,,,,,,,,5pNVGmFkq4bT98sRxdA7Xv
Forever Man,Eric Clapton,1985,1066.0,1209.0,939.0,1281.0,1292.0,1371.0,1566.0,1665.0,1602.0,1503.0,1453.0,1373.0,1486.0,1313.0,1170.0,1494.0,1408.0,1629.0,1638.0,1557.0,349PT8jfi7RxXB7DZM0NMX
Op Een Mooie Pinksterdag,Leen Jongewaard,1967,1067.0,,1324.0,,1888.0,,,1918.0,,,,,,,,,,,,,
Popmuzik,M,1979,1068.0,1285.0,1332.0,1846.0,,,,,,,,,,,,,,,,,0FBeVAGy58YREuZK2rpRVm
She Goes Nana,Radios,1993,1069.0,1290.0,1329.0,1435.0,1452.0,1850.0,1916.0,,,,,,,,,,,,,,73ckFKYD8ydiDRnazoGGDE
Spiegelbeeld,Willeke Alberti,1963,1070.0,,1364.0,1693.0,1459.0,999.0,1731.0,1673.0,1725.0,1550.0,1981.0,1939.0,,,,,,,,,7s8GtbGZRf1QAlEXXVytxS
Bright Side Of The Road,Van Morrison,1979,1071.0,2000.0,727.0,616.0,744.0,795.0,910.0,711.0,773.0,739.0,802.0,791.0,937.0,1062.0,1120.0,1228.0,1452.0,1856.0,1883.0,,5WvD5cjxtmQz0gclIV81Hc
Conquistador,Procol Harum,1972,1072.0,1132.0,986.0,1147.0,972.0,1328.0,1220.0,1421.0,1821.0,1366.0,1499.0,1587.0,1707.0,1994.0,,,,,,,2Wr1PqAw6bzMYhngpb3f96
I Lie And I Cheat,Won Ton Ton,1988,1073.0,1068.0,1083.0,1293.0,1221.0,1757.0,1528.0,1891.0,1754.0,1624.0,1564.0,1795.0,,,,,,,,,
Lazy Sunday,Small Faces,1968,1074.0,1110.0,1201.0,1543.0,1227.0,1366.0,1361.0,1757.0,,1782.0,1611.0,1679.0,1716.0,,1968.0,,,,,,11jw9nN4jdQEb82hKJCgKG
One Day In Your Life,Michael Jackson,1981,1075.0,,770.0,,1830.0,1665.0,1910.0,1962.0,,1969.0,1090.0,1414.0,1775.0,1916.0,1920.0,,,,,,7vtaQNW7QHtQsLeshQlm3D
Quiereme Mucho,Julio Iglesias,1979,1076.0,1396.0,,,,,,1968.0,,,,,,,,,,,,,3D1ourR6ar31jOZmHGCoa2
Skandal Im Sperrbezirk,Spider Murphy Gang,1982,1077.0,1291.0,1097.0,1192.0,1326.0,1319.0,1544.0,1781.0,1976.0,1602.0,1846.0,1834.0,1954.0,1494.0,1667.0,1686.0,1532.0,1706.0,1714.0,1687.0,3YBwqMrXwVbjAKmqcNf2PV
Evergreen,Barbra Streisand,1977,1078.0,,1536.0,1853.0,1752.0,1349.0,1386.0,1235.0,963.0,1242.0,1185.0,1116.0,1806.0,1733.0,1751.0,1795.0,,,,,2IcqY68BxP1ONPi3ME6aje
Can't Take My Eyes Off Of You,Boys Town Gang,1982,1079.0,1056.0,1002.0,1405.0,1889.0,1993.0,1880.0,1989.0,,1944.0,,,,,,,,,,,566U7bjbnK0I3RxObVVpA9
Funkin' For Jamaica,Tom Browne,1981,1080.0,1495.0,1641.0,1807.0,1694.0,1536.0,,1991.0,1225.0,1726.0,,,,1948.0,1710.0,1835.0,1969.0,,,,0xbkxTqSaW5blsYgRXpB5I
Lily Was Here,Candy Dulfer & Dave Stewart,1989,1081.0,1891.0,,1711.0,,1959.0,,,,,,,,1523.0,1881.0,1411.0,,,,,5HVqftYQ37bJx3y0SI4obk
Midnight Train To Georgia,Gladys Knight & The Pips,1973,1082.0,1724.0,1407.0,1644.0,1635.0,1299.0,1414.0,1374.0,1539.0,1435.0,1509.0,1183.0,1185.0,1516.0,1343.0,1377.0,1340.0,1406.0,1270.0,1055.0,7MF7QAodbGzNYav5ZfIhAY
Don't Know Much,Linda Ronstadt,1989,1083.0,,1797.0,,1931.0,1793.0,,,,,,,,,,,,,,,5z3ZDMP02xF33yCvPFnct3
Casser La Voix (Live),Patrick Bruel,1992,1084.0,,1482.0,916.0,919.0,1154.0,1127.0,645.0,1353.0,945.0,1077.0,1010.0,1009.0,1036.0,1026.0,1077.0,1041.0,1162.0,1305.0,1650.0,1rxtY5YguwETxBmFt7EPht
Georgia On My Mind,Ray Charles,1960,1085.0,,1718.0,1952.0,950.0,1102.0,677.0,723.0,990.0,870.0,949.0,927.0,716.0,810.0,840.0,979.0,1239.0,1440.0,1614.0,1591.0,4hd8wgCh7ZQWRyXNLnwjTD
I Can Hear Music,Beach Boys,1969,1086.0,858.0,878.0,981.0,1022.0,1002.0,1100.0,1269.0,1226.0,1139.0,1161.0,1078.0,1338.0,,1887.0,1887.0,,,,,1hcMfYTsRTC4hIKbfosxjz
Live Is Life,Opus,1985,1087.0,877.0,1444.0,1270.0,1456.0,1727.0,1858.0,,,,1629.0,1770.0,,,,,,,,,5luOvrlnzfvJQdQjrScVj4
Fever,Peggy Lee,1959,1088.0,1710.0,1730.0,1383.0,1097.0,1848.0,1820.0,1932.0,,1886.0,,,,,,,,,,,4Ke1CYcm2wYDFlOhziFFjK
Love Letters In The Sand,Pat Boone,1957,1089.0,1218.0,1488.0,1710.0,1190.0,1762.0,1703.0,1553.0,1689.0,1576.0,,,,,,,,,,,1eqGYJJr2z2GXK1i0hD3BC
Yesterday When I Was Young,Charles Aznavour,1970,1090.0,,1338.0,940.0,778.0,961.0,704.0,721.0,545.0,697.0,812.0,844.0,1027.0,1021.0,629.0,872.0,799.0,833.0,995.0,621.0,5YLYgvlpbz64nmqF5E0kXo
Arms Of Mary,Sutherland Brothers And Quiver,1976,1091.0,1244.0,1087.0,1499.0,1516.0,1910.0,1543.0,1867.0,1876.0,1697.0,,,,,,,,,,,1HQOWX26V2pdJOxoQ6rcEA
Cosi Celeste,Zucchero,1997,1092.0,,,1690.0,1667.0,1483.0,1293.0,1281.0,932.0,1253.0,1913.0,1496.0,1443.0,1541.0,1592.0,1709.0,1658.0,,,,7kLkXCGTDuUePEos8eUzf6
Nah Neh Nah,Vaya con Dios,1990,1093.0,997.0,1504.0,1344.0,1149.0,1301.0,1110.0,1257.0,1436.0,1267.0,1310.0,1498.0,1475.0,1347.0,1943.0,1844.0,,,,,1fX0h6SaZBXwmr4haRvirQ
't Is Weer Voorbij Die Mooie Zomer,Gerard Cox,1973,1094.0,1148.0,,1610.0,1283.0,1479.0,1425.0,1263.0,1570.0,1418.0,1642.0,1734.0,,813.0,,,,,,,1OkDLYSHraLYrClG4Q0AQX
(Walk Me Out) In The Morning Dew,Long John Baldry,1981,1095.0,871.0,1132.0,1114.0,1005.0,1042.0,1273.0,982.0,846.0,977.0,1162.0,1274.0,1291.0,843.0,1262.0,1385.0,1695.0,,,,
Sacramento (A Wonderful Town),Middle Of The Road,1972,1096.0,732.0,1090.0,1053.0,1010.0,1278.0,1280.0,1564.0,1484.0,1338.0,1597.0,1697.0,1826.0,1630.0,,,,,,,190oN9D5Nf6kVURxWeAcBM
La Danse De Zorba,Trio Hellenique,1965,1097.0,1371.0,1835.0,1944.0,,,1923.0,,,,,,,,,,,,,,
Don't Wanna Lose You,Gloria Estefan,1989,1098.0,,,,,,,,,,,,,,,,,,,,4tEpvocDTdNVR9DYxnJTFy
Hit Me With Your Rhythm Stick,Ian Dury & Blockheads,1978,1099.0,1105.0,1131.0,1314.0,1549.0,1454.0,1746.0,,,,1906.0,1805.0,1735.0,,,,,,,,2ee9kqcX5qVkZwQmeJZVVC
I Scare Myself,Thomas Dolby,1984,1100.0,987.0,1649.0,1244.0,1578.0,1521.0,1759.0,1976.0,1963.0,1717.0,,,,,,,,,,,6XhpH1fs9BLFk0IxEGyecw
24 Hours From Tulsa,Gene Pitney,1964,1101.0,1359.0,,1533.0,1529.0,1986.0,1849.0,1598.0,,1900.0,,,,,,,,,,,5daJNHhXBesrifRSNrHb7k
Darling Be Home Soon,Lovin' Spoonful,1967,1102.0,1095.0,1069.0,987.0,1387.0,1081.0,1656.0,1442.0,,1716.0,,,,,,,,,,,6lTQUF6os6Y400rkjWb30B
Dream A Little Dream Of Me,Mama Cass,1968,1103.0,1597.0,1476.0,1647.0,1756.0,1455.0,1626.0,1570.0,1528.0,1558.0,1758.0,1738.0,1742.0,1914.0,1769.0,1868.0,,,,,3cOWCcBKwiwUs5PCYirwMI
For What It's Worth,Buffalo Springfield,1967,1104.0,,981.0,716.0,989.0,869.0,1094.0,1408.0,1401.0,1170.0,1565.0,1536.0,1341.0,1461.0,1115.0,1701.0,1460.0,1780.0,1695.0,1990.0,1qRA5BS78u3gME0loMl9AA
I Am A Rock,Simon & Garfunkel,1966,1105.0,1175.0,761.0,1373.0,1300.0,1432.0,1187.0,1259.0,1490.0,1310.0,1576.0,1530.0,1622.0,1465.0,1723.0,,,,,,0byOqNZN9ailhoORv5Ps0Z
Because I Love You,Buddy Holly,1956,1106.0,,,,,1257.0,983.0,1000.0,864.0,1189.0,1602.0,1614.0,1832.0,1856.0,,,,,,,5oHZam004JZh2Vn81J2Ng2
All Day And All Of The Night,Kinks,1964,1107.0,1361.0,1493.0,1983.0,1832.0,1624.0,,1796.0,1904.0,1829.0,1635.0,1791.0,1738.0,1518.0,1489.0,,,,,,78JmElAFmrPNhLjovDR9Jm
If I Said You Had A Beautiful Body,Bellamy Brothers,1979,1108.0,,773.0,1309.0,1486.0,1153.0,1174.0,1437.0,994.0,1204.0,1859.0,,,,,,,,,,3EO5DSiJSASa69I7Vv00gN
Se Bastasse Una Canzone,Eros Ramazzotti,1990,1109.0,1191.0,1255.0,1433.0,867.0,1369.0,1036.0,1291.0,1352.0,1210.0,1688.0,1594.0,1695.0,1781.0,1820.0,1987.0,1887.0,,,,7dp45uA0Ws4TadWaMwdIRw
Spirit In The Sky,Norman Greenbaum,1970,1110.0,1146.0,1481.0,1739.0,959.0,1576.0,1786.0,1899.0,,1834.0,,,,,,,,,,,0jvN7eQJJt4nxQzgQfZ1SP
Window Of Hope,Oleta Adams,1993,1111.0,,1811.0,1390.0,1213.0,1489.0,1432.0,1579.0,1380.0,1445.0,,1777.0,1715.0,,1999.0,1980.0,,,,,7IyXO4OsPqqmB0v1ebT9Ok
La Mamma,Charles Aznavour,1964,1112.0,,1467.0,1298.0,1297.0,1175.0,1044.0,831.0,763.0,923.0,1018.0,1108.0,1176.0,1393.0,1294.0,1499.0,1374.0,,,,7xIXHiCgvuaVXWXUIHMlFq
Sealed With A Kiss,Bobby Vinton,1972,1113.0,1075.0,971.0,1378.0,1340.0,1145.0,1277.0,1303.0,1393.0,1288.0,,1886.0,,,,,,,,,2W5UG7uGle3SlZiyzEGxls
Ticket To Ride,Beatles,1965,1114.0,1011.0,1534.0,1576.0,1746.0,1621.0,1795.0,1719.0,1579.0,1640.0,1773.0,,,,1853.0,,,,,,7CZiDzGVjUssMSOXrDNYHL
Touch,Outsiders,1966,1115.0,974.0,1354.0,1358.0,1074.0,1323.0,1006.0,1329.0,1810.0,1345.0,1566.0,1492.0,,,,,,,,,3rIRw7bLVlLSeR39XpSQX1
Starlight Dancer,Kayak,1977,1116.0,720.0,691.0,646.0,696.0,1074.0,1034.0,1170.0,1629.0,1093.0,698.0,1093.0,938.0,1055.0,1163.0,1302.0,1608.0,,1786.0,,1YkU5fLIBNLVAJPK6air20
The Last Seven Days,Unit Gloria,1969,1117.0,1580.0,1122.0,1234.0,977.0,1110.0,948.0,1057.0,1049.0,1044.0,1131.0,1084.0,1549.0,1921.0,,,,,,,
You Are,Dolly Parton,1983,1118.0,866.0,240.0,1540.0,1612.0,1353.0,1443.0,1549.0,1319.0,1343.0,1955.0,1847.0,1971.0,1716.0,,,,,,,6okcxWVQetuXyRKMcVqJXZ
The Eyes Of Jenny,Sandy Coast,1981,1119.0,1149.0,1208.0,1254.0,1621.0,1491.0,1422.0,1762.0,1894.0,1621.0,,1401.0,1226.0,1172.0,1219.0,1063.0,1337.0,1678.0,768.0,1628.0,6w8T2AwZ4k47OF1w2Jj2e1
Then I Kissed Her,Beach Boys,1967,1120.0,1228.0,1186.0,1352.0,1775.0,1344.0,1427.0,1638.0,1270.0,1429.0,1632.0,1515.0,1965.0,,,,,,,,3Ez3Pk5Xe6GmocOVZ6dEks
Ik Ben Blij Dat Ik Je Niet Vergeten Ben,Joost Nuissl,1975,1121.0,609.0,1000.0,1157.0,1100.0,1090.0,1164.0,1090.0,1123.0,1100.0,1656.0,1397.0,1464.0,1730.0,,,,,,,
Mr. Bojangles,The Nitty Gritty Dirt Band,1971,1122.0,1514.0,,,1834.0,,,,,,,,,,,,,,,,31tDqQi0W6qlq9IOlSFpUT
What's Another Year,Johnny Logan,1980,1123.0,1233.0,,1924.0,1844.0,,1649.0,928.0,,1813.0,,,,,,,,,,,3ta02cB4LPfhru6F9D4CjW
Ain't No Mountain High Enough,Diana Ross,1970,1124.0,,1808.0,1403.0,1265.0,1502.0,1635.0,1515.0,1512.0,1509.0,1462.0,1375.0,1658.0,1515.0,1812.0,,,,,,4I7ghqsg7bL4Sklf55mVy2
Ferry 'Cross The Mersey,Gerry & The Pacemakers,1964,1125.0,983.0,852.0,1392.0,1168.0,1607.0,1574.0,1858.0,,1810.0,1922.0,1913.0,1991.0,,,,,,,,3NFScsiDPfCzKgQQUL0674
How Long,Ace,1974,1126.0,,1041.0,1119.0,1439.0,1759.0,,,1673.0,1968.0,,,,,,,,,,,4AjKVyNUMdUveKK5OH1OJD
La Ballade Des Gens Heureux,Gerard Lenorman,1976,1127.0,1502.0,1209.0,1720.0,1689.0,1519.0,1354.0,1282.0,1764.0,1489.0,1945.0,1700.0,1780.0,1329.0,1935.0,1717.0,,,,,2I69iebe4CftqShXyRoIZh
Crazy,Patsy Cline,1961,1128.0,1822.0,1499.0,,1528.0,1932.0,,,,,,,,,,,,,,,3zpj9dvJABiyMrmLCPw6i8
Distant Drums,Jim Reeves,1966,1129.0,,,1305.0,1449.0,1504.0,1456.0,1335.0,1158.0,1363.0,1670.0,1506.0,1763.0,1829.0,,,,,,,38CbMc5Al34k2iE59fyRYi
I Won't Stand Between Them,Bonnie St. Claire,1970,1130.0,1103.0,953.0,956.0,1099.0,1361.0,1267.0,1620.0,1587.0,1386.0,,1763.0,,,,,,,,,2bwkrB15gPOFLclGo7y5zG
