titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,title,artist,track_id,artist_id,album_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Oerend Hard,Normaal,1977,126.0,149.0,169.0,106.0,95.0,117.0,82.0,107.0,119.0,101.0,226.0,214.0,302.0,256.0,275.0,271.0,186.0,336.0,343.0,330.0,88.0,Oerend Hard,Normaal,spotify:track:3d8KtuxdO6kba5qzRcbqlk,spotify:artist:2QU0ew2k2IZJifa8VWevSv,spotify:album:2Y6BwUXirswFvEpxii9qQH,0.122,0.664,0.66,0.0,0.075,-10.39,0.0989,126.566,0.836,50.0
Samba Pa Ti,Santana,1970,127.0,150.0,153.0,176.0,188.0,177.0,182.0,184.0,257.0,182.0,161.0,154.0,221.0,276.0,295.0,216.0,273.0,196.0,236.0,423.0,436.0,Samba Pa Ti,Santana,spotify:track:35fC3Wq3slX4OBfyvBVmHm,spotify:artist:6GI52t8N5F02MxU0g5U69P,spotify:album:1CHUXwuge9A7L2KiA3vnR6,0.829,0.407,0.358,0.424,0.0827,-12.908,0.0343,92.292,0.267,61.0
Teach Your Children,"Crosby, Stills, Nash & Young",1970,128.0,145.0,78.0,150.0,130.0,142.0,159.0,160.0,199.0,149.0,237.0,208.0,325.0,628.0,513.0,751.0,776.0,498.0,640.0,681.0,698.0,Teach Your Children,"Crosby, Stills, Nash & Young",spotify:track:29HaKOpeLSYvqdFyEQSRdj,spotify:artist:1CYsQCypByMVgnv17qsSbQ,spotify:album:5bHkK1X4WEOzNvRhehvOcb,0.643,0.497,0.285,1.66e-05,0.389,-14.537,0.0264,154.7,0.667,62.0
The Final Countdown,Europe,1986,129.0,87.0,166.0,180.0,202.0,189.0,227.0,283.0,452.0,247.0,538.0,497.0,545.0,519.0,436.0,589.0,566.0,568.0,523.0,426.0,587.0,The Final Countdown,Europe,spotify:track:3MrRksHupTVEQ7YbA0FsZK,spotify:artist:7Js6Lde8thlIHXggv2SCBz,spotify:album:5Jkd47JEaCU1g4DcGBnHm3,0.0628,0.536,0.844,0.00084,0.0608,-6.918,0.058,117.652,0.185,74.0
Lola,The Kinks,1970,130.0,85.0,156.0,205.0,181.0,188.0,265.0,227.0,361.0,222.0,242.0,245.0,276.0,424.0,346.0,375.0,569.0,688.0,637.0,,,Lola - Coca Cola Version,The Kinks,spotify:track:0UAJH0k4k3slcE83a9UGCe,spotify:artist:1SQRv42e4PjEYfPhS0Tk9E,spotify:album:4jaLfcNpIrOgcPyXuuiHTi,0.582,0.474,0.917,0.231,0.201,-4.19,0.0395,152.113,0.902,67.0
I Will Always Love You,Whitney Houston,1992,131.0,405.0,476.0,551.0,537.0,463.0,636.0,513.0,483.0,505.0,505.0,534.0,687.0,401.0,433.0,446.0,381.0,453.0,484.0,447.0,617.0,I Will Always Love You,Whitney Houston,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,spotify:album:7JVJlkNNobS0GSoy4tCS96,0.844,0.306,0.214,5.3e-06,0.0839,-12.518,0.0356,66.98,0.108,76.0
Take On Me,A-Ha,1985,132.0,68.0,72.0,79.0,145.0,146.0,147.0,247.0,179.0,152.0,345.0,293.0,308.0,368.0,394.0,284.0,227.0,178.0,156.0,321.0,331.0,Take on Me,a-ha,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,spotify:artist:2jzc5TC5TVFLXQlBNiIUzE,spotify:album:1ER3B6zev5JEAaqhnyyfbf,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876,81.0
Under Pressure,David Bowie & Queen,1981,133.0,265.0,332.0,185.0,308.0,273.0,345.0,493.0,524.0,376.0,229.0,352.0,324.0,265.0,192.0,193.0,201.0,87.0,101.0,38.0,,Under Pressure,Queen,spotify:track:7mMMywPtAdNfJz9iQtOSwk,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,spotify:album:69DgUEt59mWPJwyWCsqM8A,0.382,0.667,0.527,0.0,0.0888,-12.653,0.0531,113.496,0.446,28.0
Living Doll,Cliff Richard & Young Ones,1986,134.0,371.0,374.0,450.0,1008.0,696.0,967.0,1081.0,1103.0,887.0,916.0,973.0,1049.0,1574.0,1160.0,1314.0,1433.0,1490.0,1661.0,1766.0,1821.0,Living Doll (as made famous by Cliff Richard & The Young Ones ),Hilarious Hit Makers,spotify:track:5ReusEyUcwP0DAxBK0maZr,spotify:artist:5D1iz2PNkxZcL48MNGtz9U,spotify:album:2FgMAwDtuZTzspHY4JFspB,0.177,0.72,0.648,0.0,0.0884,-6.711,0.0297,125.899,0.622,17.0
Owner Of A Lonely Heart,Yes,1983,135.0,94.0,86.0,101.0,165.0,221.0,233.0,318.0,374.0,235.0,270.0,348.0,361.0,364.0,406.0,379.0,389.0,412.0,458.0,662.0,747.0,Owner of a Lonely Heart,Yes,spotify:track:0GTK6TesV108Jj5D3MHsYb,spotify:artist:7AC976RDJzL2asmZuz7qil,spotify:album:6nNlTIiFd3J06W0rJiiwlz,0.175,0.744,0.798,0.00367,0.26,-5.981,0.0364,125.061,0.89,68.0
Fragile,Sting,1988,136.0,249.0,99.0,118.0,99.0,105.0,98.0,90.0,115.0,98.0,117.0,110.0,111.0,78.0,74.0,86.0,95.0,102.0,110.0,155.0,150.0,Fragile,Sting,spotify:track:5oE6INocVL9viDow5y8QNM,spotify:artist:0Ty63ceoRnnJKVEYP0VQpk,spotify:album:3mVCQqgwEvwD7lHy9KHi7R,0.912,0.323,0.198,0.0698,0.0889,-21.035,0.0354,82.373,0.289,61.0
Zelfs Je Naam Is Mooi,Henk Westbroek,1998,137.0,129.0,210.0,171.0,97.0,144.0,122.0,96.0,124.0,113.0,190.0,141.0,232.0,260.0,320.0,340.0,380.0,514.0,526.0,659.0,546.0,Zelfs Je Naam Is Mooi,Henk Westbroek,spotify:track:5RWOzvrzPQnt5Ybqxgddrc,spotify:artist:178yD2iAVWr5qYldTaWBA2,spotify:album:7nZk9YLd4JRkSzeznk18VL,0.384,0.564,0.46,0.00032,0.205,-7.328,0.0244,94.007,0.447,48.0
Happy New Year,ABBA,1980,138.0,382.0,349.0,503.0,426.0,320.0,417.0,402.0,225.0,330.0,552.0,552.0,619.0,643.0,815.0,771.0,911.0,851.0,894.0,892.0,758.0,Happy New Year,ABBA,spotify:track:7nvmxaLf5hq9ZDTIMME27m,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,spotify:album:5PVuX09frPq7AMYkkdcDfR,0.818,0.509,0.382,0.0,0.121,-9.214,0.0281,132.51,0.264,42.0
Kiss From A Rose,Seal,1994,139.0,262.0,389.0,227.0,222.0,270.0,384.0,337.0,465.0,329.0,376.0,344.0,332.0,396.0,329.0,299.0,280.0,307.0,320.0,440.0,,Kiss from a Rose,Seal,spotify:track:3YKptz29AsOlm7WAVnztBh,spotify:artist:5GtMEZEeFFsuHY8ad4kOxv,spotify:album:1mSECpFqHRW6leG4idqTE1,0.684,0.583,0.532,0.0,0.306,-7.11,0.0309,131.741,0.223,72.0
Barcelona,Freddie Mercury & Montserrat Caballé,1987,140.0,134.0,189.0,160.0,186.0,251.0,201.0,180.0,181.0,175.0,241.0,147.0,162.0,105.0,200.0,249.0,296.0,302.0,211.0,143.0,176.0,Barcelona - Remastered 2011 / Single Version,Freddie Mercury,spotify:track:4XfpGU17CU9MNd0BY0fukk,spotify:artist:4M1FpEWs2PeYfJe7xxJfhH,spotify:album:60Yx1xATvlWpAMzsBMMTSE,0.841,0.249,0.506,0.000253,0.102,-6.648,0.0325,106.363,0.121,14.0
Proud Mary,Ike & Tina Turner,1971,141.0,132.0,168.0,144.0,136.0,114.0,139.0,139.0,223.0,138.0,205.0,193.0,182.0,225.0,224.0,202.0,268.0,277.0,250.0,180.0,172.0,Proud Mary,Ike & Tina Turner,spotify:track:5YI7v4VBa23fbEt9wuUmkg,spotify:artist:1ZikppG9dPedbIgMfnfx8k,spotify:album:2UCdfQEDgzWtbzpaD4Mo47,0.495,0.611,0.396,1.4e-06,0.065,-13.741,0.178,99.71,0.754,50.0
How You Gonna See Me Now,Alice Cooper,1979,142.0,136.0,91.0,128.0,168.0,132.0,166.0,289.0,170.0,163.0,414.0,248.0,368.0,711.0,626.0,603.0,807.0,708.0,654.0,789.0,953.0,How You Gonna See Me Now,Alice Cooper,spotify:track:0spN4UlSI0X6YSYCWpSzgz,spotify:artist:3EhbVgyfGd7HkpsagwL9GS,spotify:album:7FFpqmbQxj3u4Q7aLGNox0,0.458,0.544,0.336,3.48e-06,0.133,-14.413,0.038,136.516,0.298,49.0
Do They Know It's Christmas,Band Aid,1984,143.0,137.0,277.0,298.0,612.0,203.0,709.0,815.0,934.0,563.0,992.0,985.0,1203.0,1262.0,1225.0,673.0,908.0,1149.0,1192.0,1329.0,1138.0,Do They Know It's Christmas? - 1984 Version,Band Aid,spotify:track:0247StOpd3AkeBQzANX4Zf,spotify:artist:35S20clEkkSNUo23ViaslZ,spotify:album:0Q96oESySVI3gLFTkhttn5,0.164,0.599,0.642,3.33e-05,0.0992,-6.936,0.0363,115.412,0.349,67.0
Hurricane,Bob Dylan,1975,144.0,56.0,56.0,66.0,83.0,60.0,66.0,70.0,55.0,61.0,58.0,58.0,70.0,95.0,73.0,115.0,127.0,100.0,133.0,160.0,208.0,Hurricane,Bob Dylan,spotify:track:1lqMLr9Wj7SM2F9AikGcxN,spotify:artist:74ASZWbe4lXaubB36ztrGX,spotify:album:1T8usYsiGEMPMQOLFgJEbE,0.0409,0.509,0.827,0.0,0.12,-7.715,0.079,135.601,0.743,67.0
Du,Peter Maffay,1971,145.0,170.0,223.0,210.0,133.0,206.0,221.0,136.0,173.0,153.0,147.0,160.0,180.0,234.0,268.0,278.0,332.0,303.0,266.0,326.0,270.0,Du,Peter Maffay,spotify:track:6fFshpRdAV1MHSpzXP3Yyk,spotify:artist:5W3s4beu23rOlseCbVOp4l,spotify:album:4Kq9hd2ZTMSR0Ju7D2G0Df,0.15,0.493,0.453,0.00435,0.427,-11.99,0.0265,94.021,0.461,51.0
White Rabbit,Jefferson Airplane,1970,146.0,104.0,175.0,155.0,125.0,155.0,178.0,199.0,265.0,172.0,235.0,287.0,272.0,284.0,223.0,239.0,291.0,301.0,281.0,318.0,,White Rabbit,Jefferson Airplane,spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,spotify:artist:2qFr8w5sWUITRlzZ9kZotF,spotify:album:6lPb7Eoon6QPbscWbMsk6a,0.486,0.551,0.293,0.000273,0.0864,-12.503,0.0272,106.798,0.322,68.0
Vienna,Ultravox,1981,147.0,106.0,136.0,138.0,152.0,220.0,272.0,290.0,387.0,242.0,220.0,264.0,349.0,378.0,359.0,310.0,366.0,315.0,322.0,397.0,419.0,Vienna,Ultravox,spotify:track:3cbLm923IeoVDOMEPOfosc,spotify:artist:3iUjRVvYCsMfz7tuAQtBDI,spotify:album:5CoUCJmVlRuGJUKjx8Zh4T,0.16,0.583,0.614,0.234,0.109,-10.312,0.0643,80.747,0.456,50.0
I Want You,Elvis Costello,1986,148.0,200.0,289.0,140.0,161.0,154.0,160.0,181.0,239.0,168.0,285.0,220.0,297.0,352.0,302.0,297.0,406.0,434.0,465.0,564.0,712.0,I Want You,Elvis Costello & The Attractions,spotify:track:1VN8ew9KECPqYS3sVbnZRr,spotify:artist:4qmHkMxr6pTWh5Zo74odpH,spotify:album:6T5rtCxx8dI4C0VckeB85M,0.354,0.5,0.127,0.0,0.355,-17.747,0.0753,123.107,0.205,50.0
Margherita,Marco Borsato,1996,149.0,156.0,152.0,147.0,142.0,98.0,131.0,105.0,160.0,128.0,129.0,187.0,175.0,226.0,289.0,354.0,228.0,374.0,471.0,420.0,459.0,Margherita - Live,Marco Borsato,spotify:track:6sj0WDZqMpF84OjTHBwjiw,spotify:artist:3D2GUXbtlL3r2d5HJEnsFD,spotify:album:2Rf3Qpa9lGq7q4u7zLDaoA,0.529,0.34,0.354,2.75e-05,0.436,-10.329,0.0374,122.897,0.22,19.0
Forever Young,Alphaville,1984,150.0,100.0,70.0,69.0,68.0,102.0,97.0,131.0,95.0,96.0,187.0,149.0,195.0,266.0,253.0,281.0,284.0,280.0,235.0,298.0,305.0,Forever Young,Alphaville,spotify:track:4S1VYqwfkLit9mKVY3MXoo,spotify:artist:0xliTEbFfy5HQHvsTknTkX,spotify:album:2256qKBSQdt53T5dz4Kdcs,0.42,0.489,0.483,0.0028,0.236,-9.466,0.0275,136.822,0.333,72.0
Kronenburg Park,Frank Boeijen,1985,151.0,93.0,133.0,139.0,119.0,145.0,132.0,130.0,162.0,134.0,159.0,170.0,230.0,247.0,230.0,274.0,289.0,308.0,237.0,225.0,,Kronenburg Park,Frank Boeijen Groep,spotify:track:5l0mUA4hwewx7cj8KzBGGE,spotify:artist:1HoWbJFK5RdH4OAtpoxbgR,spotify:album:69JWMizDVll3nRlU7YIEEF,0.445,0.499,0.546,0.0,0.102,-12.549,0.0341,90.251,0.448,51.0
The Logical Song,Supertramp,1979,152.0,154.0,198.0,158.0,252.0,288.0,342.0,366.0,422.0,317.0,453.0,474.0,421.0,452.0,319.0,403.0,363.0,395.0,354.0,356.0,286.0,The Logical Song - Remastered 2010,Supertramp,spotify:track:6mHOcVtsHLMuesJkswc0GZ,spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx,spotify:album:1zcm3UvHNHpseYOUfd0pna,0.512,0.625,0.758,0.00022,0.153,-6.213,0.0463,119.719,0.695,70.0
California Dreamin',The Mamas & The Papas,1966,153.0,135.0,296.0,164.0,123.0,128.0,185.0,168.0,270.0,159.0,155.0,146.0,167.0,183.0,250.0,237.0,247.0,255.0,262.0,302.0,248.0,California Dreamin' - Single Version,The Mamas & The Papas,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,spotify:artist:1bs7HoMkSyQwcobCpE9KpN,spotify:album:76oMr4Y2pOtcrvZLc2ZikF,0.352,0.552,0.608,0.0,0.0533,-9.786,0.0345,112.367,0.637,75.0
Englishman In New York,Sting,1988,154.0,280.0,272.0,234.0,219.0,252.0,322.0,249.0,332.0,256.0,331.0,262.0,260.0,230.0,194.0,317.0,242.0,242.0,240.0,196.0,207.0,Englishman In New York,Sting,spotify:track:4KFM3A5QF2IMcc6nHsu3Wp,spotify:artist:0Ty63ceoRnnJKVEYP0VQpk,spotify:album:3mVCQqgwEvwD7lHy9KHi7R,0.396,0.674,0.347,1.05e-05,0.0916,-17.707,0.0364,102.013,0.647,70.0
Twilight Zone,Golden Earring,1982,155.0,118.0,117.0,141.0,174.0,160.0,171.0,178.0,240.0,167.0,289.0,277.0,259.0,341.0,305.0,365.0,371.0,324.0,306.0,358.0,260.0,Twilight Zone,Golden Earring,spotify:track:3ztKHejzVoxJRKSZHFFMdJ,spotify:artist:1iTlOqIrZy8DlvCPJY2sjS,spotify:album:2qZLEQ9KsfExIhQKJF3VkD,0.00785,0.656,0.756,3.49e-05,0.0927,-6.516,0.0399,118.56,0.542,53.0
In A Gadda Da Vida,Iron Butterfly,1970,156.0,148.0,333.0,291.0,148.0,268.0,307.0,331.0,372.0,272.0,387.0,398.0,500.0,461.0,558.0,541.0,638.0,787.0,772.0,1206.0,1100.0,In-A-Gadda-Da-Vida - Single Version,Iron Butterfly,spotify:track:41TqRBgF4Ahyr4vGmZVk8b,spotify:artist:3cdvlbCYf4WoBdy89RWkNS,spotify:album:5SRbMc6fb21BcI3eq3aF7X,0.00291,0.472,0.526,0.000173,0.181,-9.505,0.0309,119.44,0.771,56.0
Conquest Of Paradise,Vangelis,1995,157.0,231.0,251.0,248.0,190.0,280.0,356.0,326.0,366.0,290.0,357.0,372.0,313.0,316.0,396.0,304.0,362.0,482.0,497.0,614.0,651.0,Conquest of Paradise,Vangelis,spotify:track:5avVpUakfMHD6qGpaH26CF,spotify:artist:4P70aqttdpJ9vuYFDmf7f6,spotify:album:1Bof5WLdaxLYn3owI7CCx0,0.698,0.43,0.295,0.569,0.226,-14.255,0.0283,74.014,0.159,60.0
Tell Him,Celine Dion & Barbra Streisand,1997,158.0,303.0,273.0,323.0,506.0,385.0,375.0,437.0,477.0,414.0,748.0,659.0,856.0,1436.0,1606.0,1463.0,1659.0,,1354.0,1481.0,,Tell Him (Αs performed by Celine Dion & Barbra Streisand),Pop Music Workshop,spotify:track:40SB4qvLi3KOHWM6kj8f94,spotify:artist:5D13RHlJ2Le5Iytcl2xzE9,spotify:album:7ivBfqqLN83oOK9Mq9YSHF,0.0758,0.568,0.205,0.915,0.106,-19.065,0.0277,75.928,0.0393,0.0
Tubular Bells,Mike Oldfield,1974,159.0,178.0,211.0,257.0,316.0,302.0,291.0,291.0,536.0,332.0,335.0,336.0,299.0,346.0,366.0,416.0,513.0,680.0,575.0,747.0,819.0,Tubular Bells - Pt. I,Mike Oldfield,spotify:track:7ERSQrRptZVM7q3VOdM7OL,spotify:artist:562Od3CffWedyz2BbeYWVn,spotify:album:0a3YQpBnRzJzNktOjb6Dum,0.564,0.374,0.219,0.56,0.114,-19.104,0.0343,103.535,0.0578,49.0
Don't Dream It's Over,Crowded House,1987,160.0,220.0,356.0,332.0,474.0,436.0,574.0,655.0,724.0,555.0,766.0,757.0,786.0,1053.0,793.0,1004.0,1046.0,726.0,681.0,783.0,764.0,Don't Dream It's Over,Crowded House,spotify:track:7G7tgVYORlDuVprcYHuFJh,spotify:artist:7ohlPA8dRBtCf92zaZCaaB,spotify:album:1dJpgn1rqvvr4yyNYLEYBG,0.0148,0.439,0.422,4.84e-05,0.0697,-17.227,0.0409,81.833,0.551,71.0
I Want To Know What Love Is,Foreigner,1984,161.0,221.0,151.0,200.0,283.0,173.0,301.0,285.0,461.0,271.0,372.0,374.0,423.0,591.0,624.0,471.0,524.0,394.0,300.0,403.0,384.0,I Want to Know What Love Is - 1999 Remaster,Foreigner,spotify:track:1JLn8RhQzHz3qDqsChcmBl,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,spotify:album:4oQhDQDKMeI6IMlwpXt3j8,0.193,0.477,0.471,1.76e-06,0.131,-10.036,0.0277,81.204,0.423,77.0
Aan De Kust,Bløf,1998,162.0,57.0,64.0,121.0,91.0,95.0,111.0,123.0,104.0,100.0,176.0,173.0,239.0,155.0,255.0,319.0,320.0,311.0,314.0,384.0,,Aan De Kust,BLØF,spotify:track:7yVyTfEMnR4p1LcAbo2uiF,spotify:artist:0KQX2wRHV2VLjuscfJFNxB,spotify:album:01QYbTcPYUIw0kNkFRcWiq,0.934,0.514,0.311,5.25e-06,0.132,-10.397,0.0478,78.152,0.224,46.0
Fantasy,"Earth, Wind & Fire",1978,163.0,180.0,201.0,230.0,305.0,279.0,317.0,355.0,355.0,304.0,286.0,205.0,327.0,326.0,347.0,381.0,358.0,366.0,370.0,479.0,530.0,Fantasy - Single Version,"Earth, Wind & Fire",spotify:track:0Eq4BMgsdV6DkLSJfX8eBt,spotify:artist:4QQgXkCYTt3BlENzhyNETg,spotify:album:2FW0uQ4WL25umm5p2VrZO7,0.291,0.666,0.714,0.0212,0.128,-9.448,0.0617,89.018,0.69,66.0
Worn Down Piano,The Mark & Clark Band,1977,164.0,78.0,66.0,59.0,72.0,81.0,64.0,73.0,83.0,72.0,95.0,80.0,127.0,107.0,125.0,112.0,136.0,216.0,275.0,289.0,274.0,Worn Down Piano,The Mark & Clark Band,spotify:track:2tfF0ihNIYnh64wJoLhtZZ,spotify:artist:3XRwcx2P119EeWaG5v9fl7,spotify:album:6l2yOuyoXVP3tZRg86HWoA,0.0963,0.367,0.712,0.0159,0.127,-9.942,0.0614,112.404,0.322,32.0
The Boxer,Simon & Garfunkel,1969,165.0,212.0,178.0,174.0,221.0,197.0,200.0,193.0,307.0,205.0,180.0,166.0,141.0,120.0,123.0,144.0,162.0,134.0,140.0,154.0,156.0,The Boxer,Simon & Garfunkel,spotify:track:76TZCvJ8GitQ2FA1q5dKu0,spotify:artist:70cRZdQywnSFp9pnc2WTCE,spotify:album:0JwHz5SSvpYWuuCNbtYZoV,0.702,0.439,0.488,0.000339,0.16,-14.464,0.0615,93.017,0.629,70.0
Jimmy,Boudewijn De Groot,1973,166.0,167.0,138.0,116.0,141.0,168.0,163.0,218.0,260.0,179.0,375.0,449.0,506.0,543.0,541.0,724.0,696.0,618.0,721.0,675.0,,Jimmy,Boudewijn de Groot,spotify:track:2KnUzGNwvIjGXdq6AK4SxD,spotify:artist:3h6rezLYXc5QU08SCKZtyO,spotify:album:7uvPwz44qCtpVTXUyYpiJr,0.227,0.663,0.736,2.41e-05,0.315,-9.936,0.029,110.774,0.889,30.0
Roll Over Lay Down (Live),Status Quo,1975,167.0,160.0,89.0,136.0,172.0,226.0,150.0,220.0,328.0,196.0,295.0,330.0,372.0,492.0,442.0,438.0,599.0,561.0,581.0,686.0,631.0,Roll over Lay Down (Live at Wacken 2017),Status Quo,spotify:track:2YH14o1jLDtgEih3VWeFYV,spotify:artist:4gIdjgLlvgEOz7MexDZzpM,spotify:album:4qEAFsgFDf4JhiK4AaqeJX,0.024,0.437,0.59,0.345,0.96,-10.084,0.0284,132.814,0.425,3.0
The Fool On The Hill,The Beatles,1967,168.0,190.0,294.0,137.0,199.0,209.0,196.0,203.0,189.0,183.0,256.0,221.0,291.0,389.0,510.0,487.0,550.0,798.0,715.0,730.0,857.0,The Fool On The Hill - Remastered 2009,The Beatles,spotify:track:6rHh8urosEFRI67xVa6fzU,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,spotify:album:2BtE7qm1qzM80p9vLSiXkj,0.913,0.356,0.26,2.1e-06,0.105,-10.577,0.0314,144.184,0.49,57.0
Like A Rollin' Stone,Bob Dylan,1965,169.0,88.0,195.0,215.0,200.0,110.0,133.0,138.0,100.0,125.0,149.0,174.0,174.0,253.0,233.0,261.0,279.0,345.0,385.0,598.0,,Like a Rolling Stone,Bob Dylan,spotify:track:3AhXZa8sUQht0UEdBJgpGc,spotify:artist:74ASZWbe4lXaubB36ztrGX,spotify:album:6YabPKtZAjxwyWbuO9p4ZD,0.729,0.483,0.721,0.0,0.189,-6.836,0.032,95.261,0.562,70.0
Walk Of Life,Dire Straits,1985,170.0,213.0,147.0,173.0,164.0,178.0,207.0,210.0,244.0,192.0,329.0,315.0,341.0,309.0,306.0,355.0,353.0,320.0,328.0,265.0,232.0,Walk of Life,Dire Straits,spotify:track:423o3ZHIaBtGXyhF1uH41a,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,spotify:album:7jvcSnCnugLcisBCNBm60s,0.435,0.461,0.936,9.13e-05,0.124,-6.866,0.109,172.404,0.804,60.0
Don't Give Up,Peter Gabriel & Kate Bush,1986,171.0,162.0,183.0,172.0,213.0,193.0,155.0,194.0,238.0,184.0,255.0,219.0,279.0,237.0,238.0,190.0,254.0,309.0,302.0,295.0,341.0,Don't Give Up (Originally Performed By Peter Gabriel & Kate Bush) - Full Vocal Version,Paris Music,spotify:track:1iwIgKh4fv0HDeUEEvuRBN,spotify:artist:7iFUYe1KDzmMGlvCSbL6nw,spotify:album:2RPe724UOCqTNyiH8aXRoA,0.831,0.658,0.352,0.0198,0.121,-11.036,0.0404,161.578,0.277,26.0
Graceland,Paul Simon,1987,172.0,205.0,170.0,187.0,225.0,238.0,193.0,223.0,286.0,217.0,218.0,180.0,200.0,161.0,185.0,207.0,216.0,175.0,213.0,279.0,,You Can Call Me Al,Paul Simon,spotify:track:0qxYx4F3vm1AOnfux6dDxP,spotify:artist:2CvCyf1gEVhI0mX6aFXmVI,spotify:album:6WgGWYw6XXQyLTsWt7tXky,0.182,0.776,0.763,0.0065,0.077,-8.124,0.0535,128.433,0.82,73.0
Billie Jean,Michael Jackson,1983,173.0,422.0,310.0,313.0,315.0,222.0,239.0,260.0,370.0,266.0,27.0,64.0,96.0,83.0,132.0,128.0,126.0,123.0,113.0,82.0,130.0,Billie Jean (Michael Jackson Cover),Calum Graham,spotify:track:130YDbyVo4jmDAzv18xn2k,spotify:artist:6VUCcZ6HiQQ39DhxV4bSeA,spotify:album:30OgCzf2n8pLPvqW5ECtkR,0.584,0.768,0.404,4.89e-05,0.103,-11.279,0.0396,109.996,0.372,22.0
Eagle,ABBA,1978,174.0,114.0,90.0,94.0,89.0,129.0,100.0,135.0,89.0,104.0,162.0,165.0,194.0,208.0,282.0,243.0,348.0,375.0,299.0,385.0,325.0,Eagle,ABBA,spotify:track:0ofI7zAV865oByamlFk53U,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,spotify:album:5GwbPSgiTECzQiE6u7s0ZN,0.21,0.485,0.768,6.23e-06,0.214,-6.725,0.0261,85.249,0.57,38.0
A Horse With No Name,America,1972,175.0,245.0,141.0,96.0,109.0,135.0,119.0,155.0,113.0,126.0,199.0,184.0,244.0,223.0,297.0,334.0,385.0,328.0,347.0,347.0,391.0,A Horse with No Name,America,spotify:track:54eZmuggBFJbV7k248bTTt,spotify:artist:35U9lQaRWSQISxQAB94Meo,spotify:album:0E5IKYhiKgbYQkmfsFonbZ,0.686,0.654,0.506,0.0155,0.155,-17.18,0.0535,123.179,0.831,75.0
The Last Resort,Eagles,1976,176.0,101.0,59.0,48.0,29.0,48.0,30.0,35.0,26.0,30.0,38.0,39.0,64.0,66.0,60.0,55.0,78.0,108.0,104.0,139.0,141.0,The Last Resort - 2013 Remaster,Eagles,spotify:track:0MrZG1nTNQVzeSJKi6gFVF,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,spotify:album:2widuo17g5CEC66IbzveRu,0.474,0.549,0.28,0.0612,0.16,-10.692,0.0311,125.83,0.299,52.0
Voor Haar,Frans Halsema,1977,177.0,141.0,123.0,127.0,110.0,100.0,50.0,56.0,36.0,53.0,69.0,57.0,98.0,109.0,88.0,110.0,115.0,151.0,132.0,179.0,184.0,Voor Haar,Frans Halsema,spotify:track:5oSNx87hsjk0Nz0pdQcdct,spotify:artist:6AppB7gke4WXNRhtlTdSJy,spotify:album:4wtJJageS0xLtoxiqvgQZf,0.649,0.279,0.361,0.000478,0.251,-11.99,0.0316,82.157,0.357,28.0
Wereld Zonder Jou,Marco Borsato & Trijntje Oosterhuis,1997,178.0,230.0,206.0,342.0,343.0,182.0,235.0,342.0,579.0,311.0,443.0,793.0,1099.0,1410.0,1023.0,1454.0,1517.0,,,1132.0,1026.0,Wereld Zonder Jou (Karaoke Version) - Originally Performed By Marco Borsato & Trijntje Oosterhuis,Albert 2 Stone,spotify:track:0exUHYMuQVGTg6KlLz0CXg,spotify:artist:6q6D8PiXlLQKNlCGjDyVrI,spotify:album:1wJ3J3ifNcZ9ZOQ9i5xztX,0.258,0.549,0.427,0.898,0.168,-8.441,0.0261,59.979,0.039,1.0
Killer Queen,Queen,1974,179.0,146.0,173.0,154.0,155.0,185.0,230.0,257.0,512.0,250.0,257.0,333.0,248.0,261.0,288.0,306.0,316.0,319.0,310.0,88.0,106.0,Killer Queen - 2011 Mix,Queen,spotify:track:7GqWnsKhMtEW0nzki5o0d8,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,spotify:album:6RJyYMIrOtx3VnNIoq31kj,0.379,0.535,0.65,0.0,0.14,-6.328,0.0554,117.188,0.61,65.0
You,Ten Sharp,1991,180.0,331.0,320.0,276.0,229.0,364.0,422.0,447.0,493.0,390.0,485.0,519.0,589.0,809.0,767.0,732.0,717.0,694.0,724.0,955.0,905.0,You,Ten Sharp,spotify:track:6lbme14HiDWYmGiw1I2Dv6,spotify:artist:0ap24Mjt6qlze8v667KlaF,spotify:album:6LoXZrgX1DhvUN6hFhs0AW,0.426,0.405,0.901,0.0185,0.188,-7.905,0.0315,174.041,0.666,61.0
