titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,title,artist,track_id,artist_id,album_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
House Of The Rising Sun,Animals,1964,13.0,12.0,6.0,6.0,7.0,8.0,8.0,12.0,7.0,7.0,29.0,18.0,25.0,51.0,55.0,78.0,84.0,71.0,77.0,86.0,103.0,House Of The Rising Sun,The Animals,spotify:track:7BY005dacJkbO6EPiOh2wb,spotify:artist:3ICflSq6ZgYAIrm2CTkfVP,spotify:album:0Xwkx2TLFwRcoK0OWQ0Msa,0.000385,0.295,0.584,0.218,0.0996,-6.696,0.0345,117.2,0.228,68.0
Goodnight Saigon,Billy Joel,1983,14.0,11.0,8.0,18.0,25.0,22.0,34.0,51.0,38.0,32.0,53.0,38.0,62.0,80.0,90.0,83.0,79.0,77.0,81.0,93.0,101.0,Goodnight Saigon,Billy Joel,spotify:track:5bIwtIednTXz7BHnnoQN06,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,spotify:album:50bajZpetfL5T0iRCOR74J,0.152,0.598,0.398,0.0,0.116,-14.208,0.0613,129.125,0.135,51.0
Nights In White Satin,The Moody Blues,1968,15.0,25.0,29.0,23.0,28.0,33.0,35.0,23.0,50.0,31.0,42.0,41.0,45.0,65.0,68.0,76.0,102.0,122.0,124.0,111.0,128.0,Nights In White Satin - Single Version / Mono Mix,The Moody Blues,spotify:track:6L5BZEcZmD6RBJnimzlyKr,spotify:artist:5BcZ22XONcRoLhTbZRuME1,spotify:album:3JyYXOBRAuc3XFQxFxrEcM,0.465,0.195,0.483,0.497,0.0686,-4.991,0.03,84.71,0.173,66.0
Dancing Queen,ABBA,1976,16.0,30.0,28.0,41.0,46.0,42.0,36.0,49.0,29.0,37.0,70.0,68.0,88.0,111.0,160.0,127.0,155.0,131.0,92.0,67.0,68.0,Dancing Queen,ABBA,spotify:track:4NtUY5IGzHCaqfZemmAu56,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,spotify:album:1M4anG49aEs4YimBdj96Oy,0.382,0.539,0.884,0.00166,0.76,-6.53,0.0403,100.812,0.752,71.0
Another Brick In The Wall,Pink Floyd,1979,17.0,20.0,20.0,26.0,39.0,32.0,52.0,46.0,86.0,45.0,56.0,47.0,53.0,39.0,48.0,56.0,72.0,66.0,90.0,54.0,69.0,"Another Brick in the Wall, Pt. 2",Pink Floyd,spotify:track:4gMgiXfqyzZLMhsksGmbQV,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,spotify:album:5Dbax7G8SWrP9xyzkOvy2F,0.0781,0.694,0.394,0.000677,0.247,-15.881,0.0428,104.126,0.719,75.0
Sunday Bloody Sunday,U2,1985,18.0,13.0,31.0,24.0,37.0,29.0,39.0,41.0,65.0,41.0,57.0,55.0,66.0,55.0,62.0,62.0,57.0,49.0,47.0,69.0,61.0,Sunday Bloody Sunday - Remastered 2008,U2,spotify:track:6C4LXC9UFH1IKiHYOp0BiJ,spotify:artist:51Blml2LZPmy7TTiAg47vQ,spotify:album:6GaqU0TlYBKHUiSJ0AT9A2,0.402,0.543,0.944,0.000564,0.0373,-7.495,0.0543,101.174,0.735,70.0
Music,John Miles,1976,19.0,39.0,32.0,37.0,36.0,67.0,75.0,65.0,76.0,56.0,111.0,122.0,123.0,113.0,129.0,116.0,135.0,170.0,187.0,209.0,205.0,1000 Miles Away,Santo & Johnny,spotify:track:5K5Qrn36xqKSnF6WHPTN0h,spotify:artist:4hGjngc0tPOBwTgTPci3IK,spotify:album:0nqDvXsV1uT8MNgWvxgkrJ,0.872,0.709,0.426,0.701,0.134,-8.09,0.0257,88.558,0.438,26.0
Sultans Of Swing,Dire Straits,1978,20.0,16.0,10.0,16.0,15.0,27.0,28.0,27.0,28.0,23.0,32.0,25.0,30.0,28.0,21.0,27.0,25.0,26.0,26.0,20.0,26.0,Sultans of Swing,Dire Straits,spotify:track:6cr6UDpkjEaMQ80OjWqEBQ,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,spotify:album:4dKdxly4ji1vfl7sEYuqBe,0.0632,0.73,0.868,0.0661,0.318,-7.325,0.0288,148.217,0.923,64.0
Tears In Heaven,Eric Clapton,1992,21.0,31.0,35.0,34.0,43.0,40.0,41.0,44.0,46.0,36.0,60.0,50.0,44.0,77.0,65.0,73.0,83.0,83.0,75.0,78.0,91.0,Tears in Heaven (Eric Clapton - Instrumental),Michael Marc,spotify:track:1x2jMVLFjJGXILzK3dQ0KR,spotify:artist:3fcQI5iYhwISYHwUf3G4Ok,spotify:album:0TfmOq6SalVkpHy1HVizCd,0.951,0.556,0.141,0.912,0.106,-14.131,0.0608,90.767,0.515,31.0
(I Can't Get No) Satisfaction,The Rolling Stones,1965,22.0,46.0,102.0,75.0,81.0,82.0,123.0,122.0,164.0,116.0,157.0,181.0,216.0,93.0,225.0,238.0,236.0,294.0,305.0,304.0,284.0,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,spotify:album:2Q5MwpTmtjscaS34mJFXQQ,0.0383,0.723,0.863,0.0317,0.128,-7.89,0.0338,136.302,0.931,75.0
