2019,titel,artiest,jaar,id
77,Here Comes The Sun,The Beatles,1969,6dGnYIeXmHdcikdzNNDMm2
78,Under The Bridge,Red Hot Chili Peppers,1991,3d9DChrdc6BOeFsbrZ3Is0
79,Somebody To Love (Live),George Michael & Queen,1993,0c6gaX6Av1GfiXXqfq9Jox
80,Clocks,Coldplay,2003,0BCPKOYdS2jbQ8iyB56Zns
81,Whole Lotta Rosie,AC/DC,1978,4wYq5wugZDzQiMZQYG4wVB
82,Bridge Over Troubled Water,Simon & Garfunkel,1970,6l8EbYRtQMgKOyc1gcDHF9
83,Creep,Radiohead,1992,6b2oQwSGFkzsMtQruIWm2p
84,Deurdonderen (Live),Normaal,1982,6U7rlAukeYVphgDWLc1yk6
85,Master Of Puppets,Metallica,1986,54bm2e3tk8cliUz3VSdCPZ
86,Iron Sky,Paolo Nutini,2014,5EpP1lwkAnOAKbfAHUNJkI
87,Private Investigations,Dire Straits,1982,4JiJGjJXFQECKLJR5De7Pj
88,Oerend Hard,Normaal,1977,3d8KtuxdO6kba5qzRcbqlk
89,Angels,Robbie Williams,1998,7fH9ZS8gezOtky5bkYHvCN
90,Angie,The Rolling Stones,1973,1GcVa4jFySlun4jLSuMhiq
91,Tears In Heaven,Eric Clapton,1992,612VcBshQcy4mpB2utGc3H
92,Space Oddity,David Bowie,1969,72Z17vmmeQKAg8bptWvpVG
93,Laat Me,Ramses Shaffy,1978,6XzBlaRUFcps7zkKgZWh7E
94,Yesterday,The Beatles,1965,3BQHpFgAp4l80e1XslIjNI
95,Lose Yourself,Eminem,2002,5Z01UMMf7V1o0MzF86s6WJ
96,Dochters,Marco Borsato,2008,2y3lznWjrmXHD8rXEcfEhT
97,Jolene,Dolly Parton,1974,2SpEHTbUuebeLkgs9QB7Ue
98,Where The Streets Have No Name,U2,1987,4qgZs0RNjdzKAS22lP0QjY
99,(Sittin' On) The Dock Of The Bay,Otis Redding,1968,3zBhihYUHBmGd2bcQIobrF
100,Gimme Shelter,The Rolling Stones,1969,6H3kDe7CGoWYBabAeVWGiD
101,Goodnight Saigon,Billy Joel,1983,5bIwtIednTXz7BHnnoQN06
102,Chasing Cars,Snow Patrol,2006,11bD1JtSjlIgKgZG2134DZ
103,House Of The Rising Sun,Animals,1964,7BY005dacJkbO6EPiOh2wb
104,Blackbird,The Beatles,1968,5jgFfDIR6FR0gvlA56Nakr
105,Stil In Mij,Van Dik Hout,1994,3xOiF0xnt47PgOwprICudF
106,Killer Queen,Queen,1974,7GqWnsKhMtEW0nzki5o0d8
107,The Show Must Go On,Queen,1991,3hU637WcAGM5ubSqeaTme5
108,Het Regent Zonnestralen,Acda & De Munnik,1998,2LGL71GENQR0oC9jMwTTZY
109,Bitter Sweet Symphony,The Verve,1997,57iDDD9N9tTWe75x6qhStw
110,Uprising,Muse,2009,4VqPOruhp5EdPBeR92t6lQ
111,Suspicious Minds,Elvis Presley,1969,1H5IfYyIIAlgDX8zguUzns
112,Losing My Religion,R.E.M.,1991,31AOj9sFz2gM0O3hMARRBx
113,Kleine Jongen,André Hazes,1990,68Mk5sJwy5a6DyjGRTGGux
114,Belfast Child,Simple Minds,1989,0guW4g1Z0gJjkKxkIy7VR7
115,Zeg Me Dat Het Niet Zo Is,Frank Boeijen Groep,1990,5SO1xQrOt9JfiLsNmp2Ha8
116,The Pretender,Foo Fighters,2007,7x8dCjCr0x6x2lXKujYD34
117,Knights Of Cydonia,Muse,2006,7ouMYWpwJ422jRcDASZB7P
118,When The Lady Smiles,Golden Earring,1984,6RGmi17H0xpHb7hpMxFwip
119,Lola Montez,Volbeat,2013,1wnq9TwifJ9ipLUFsm8vKx
120,Wonderwall,Oasis,1995,5wj4E6IsrVtn8IBJQOd0Cl
121,I Still Haven't Found What I'm Looking For,U2,1987,1Jt3AC8MAqjoOYMWEj1r3N
122,Don't Stop Believin',Journey,1981,4bHsxqR3GMrXTxEPLuK5ue
123,Zombie,The Cranberries,1994,2IZZqH4K02UIYg5EohpNHF
124,Hallelujah,Leonard Cohen,1984,7yzbimr8WVyAtBX3Eg6UL9
125,Nobody's Wife,Anouk,1997,2WtRXmHGWV5o90u1GzmtSw
126,Someone Like You,Adele,2011,4kflIGfjdZJW4ot2ioixTB
127,Gotta Catch 'M All (Pokemon Theme Song),Jason Paige,1997,7ewwTDsyYPDGtUwcltLsCF
128,Nights In White Satin,The Moody Blues,1968,6L5BZEcZmD6RBJnimzlyKr
129,Yellow,Coldplay,2000,3AJwUDP919kvQ9QcozQPxg
130,Billie Jean,Michael Jackson,1983,5ChkMS8OtdzJeqyybCc9R5
131,Come As You Are,Nirvana,1991,4P5KoWXOxwuobLmHXLMobV
132,Du Hast,Rammstein,1997,6uEvFCaOqXyEidoO8BZbyh
133,Californication,Red Hot Chili Peppers,2000,48UPSzbZjgc449aqz8bxox
134,Summer Of '69,Bryan Adams,1990,0GONea6G2XdnHWjNZd6zt3
135,Paranoid,Black Sabbath,1970,1Y373MqadDRtclJNdnUXVc
136,Paradise City,Guns N' Roses,1989,6eN1f9KNmiWEhpE2RhQqB5
137,We Will Rock You,Queen,1977,54flyrjcdnQdco7300avMJ
138,Bloed Zweet En Tranen,André Hazes,2002,5ZLkc5RY1NM4FtGWEd6HOE
139,Have You Ever Seen The Rain,Creedence Clearwater Revival,1971,5DnT9a5IM3eMjKgXTWVJvi
140,Wuthering Heights,Kate Bush,1978,5YSI1311X8t31PBjkBG4CZ
141,The Last Resort,Eagles,1976,0MrZG1nTNQVzeSJKi6gFVF
142,Don't Look Back In Anger,Oasis,1996,7CVYxHq1L0Z4G84jTDS6Jl
143,Perfect,Ed Sheeran,2017,0tgVpDi06FyKpA1z0VMD4v
144,Duurt Te Lang,Davina Michelle,2018,2rzZ0IGxgrGUAPwrWn80z7
145,I Want To Break Free,Queen,1984,7h2yhVxcZOGyQdOwD4Hu8J
146,A Sky Full Of Stars,Coldplay & Avicii,2014,0FDzzruyVECATHXKHFs9eJ
147,Sonne,Rammstein,2001,4w3R0GZ2rScJMKlgPJzHRq
148,Streets Of Philadelphia,Bruce Springsteen,1994,3fbnbn6A5O5RNb08tlUEgd
149,The Chain,Fleetwood Mac,1977,5e9TFTbltYBg2xThimr0rU
150,Fragile,Sting,1988,5oE6INocVL9viDow5y8QNM
151,Enjoy The Silence,Depeche Mode,1990,1YwNlWLf8auhazSQUDQLFU
152,Sorry,Kyteman,2009,2DOSd7L6SxgMqQlkPDt3ZT
153,Smoke On The Water,Deep Purple,1973,5SAUIWdZ04OxYfJFDchC7S
154,Ice Queen,Within Temptation,2001,4GbYLpSqf2Trkwqgb7p1os
155,Your Song,Elton John,1971,38zsOOcu31XbbYj9BIPUF1
156,The Boxer,Simon & Garfunkel,1969,76TZCvJ8GitQ2FA1q5dKu0
157,Perfect Day,Lou Reed,1972,2jNrly8PRxRbWSTQeRbc0a
158,Jeremy,Pearl Jam,1991,62nQ8UZVqR2RMvkJHkcO2o
159,Rolling In The Deep,Adele,2010,1CkvWZme3pRgbzaxZnTl5X
160,Arcade,Duncan Laurence,2019,1Xi84slp6FryDSCbzq4UCD
161,Wake Me Up,Avicii ft. Aloe Blacc,2013,64FBGVOZbiS8Uvn0wDsWxG
162,A Whiter Shade Of Pale,Procol Harum,1967,78ZqE2tjAxbqEGGlvGnQfT
163,Radio Ga Ga,Queen,1984,1HmzAZUvhQLhLo2z3ocpZI
164,Sterrenstof,De Jeugd Van Tegenwoordig,2010,4PW9WvbhNlrFoThvc7zheh
165,Desperado,Eagles,1973,2TjnCxxQRYn56Ye8gkUKiW
166,Whole Lotta Love,Led Zeppelin,1969,0hCB0YR03f6AmQaHbwWDe8
167,Zing Vecht Huil Bid Lach Werk En Bewonder,Ramses Shaffy,1971,72PEd2qwD5t0p6MIj4i5HG
168,Jeanny,Falco,1986,6a0lr0jt8lKDJhsAYA49NS
169,Earth Song,Michael Jackson,1995,4GCGH6TJ69neckwITeBFXK
170,September,"Earth, Wind & Fire",1979,7Cuk8jsPPoNYQWXK9XRFvG
171,The Unforgettable Fire,U2,1984,57XSd8FypQPCxJewkFXIwU
172,Proud Mary,Ike & Tina Turner,1971,5YI7v4VBa23fbEt9wuUmkg
173,Money For Nothing,Dire Straits,1985,4yqtwO7MQIIXqoiRBPHAgR
174,Fear Of The Dark,Iron Maiden,1993,0h4rVZcOiSaL9b5mT1A2gq
175,Saturday Night,Herman Brood & His Wild Romance,1978,3d2Ntcu33UKPKoHuSc60nt
176,Barcelona,Freddie Mercury & Montserrat Caballé,1987,07rjmFuB0I2O1UuIPnu6Qj
177,Make You Feel My Love,Adele,2008,6P7tTFzn6oNa0GL8w8oazE
178,Fields Of Gold,Sting,1993,0I1DJdLt9BKOb7GWmWxCjo
179,Leef,André Hazes Jr.,2016,4lBkLeU6LNgWzfbWPGm1c9
180,Bed Of Roses,Bon Jovi,1993,1zng9uqqXoPkmU05nsAlsw
181,Everybody Hurts,R.E.M.,1993,6PypGyiu0Y2lCDBN1XZEnP
182,The Winner Takes It All,ABBA,1980,2HeTmGTjl870ucJ8mF7zl5
183,Hallelujah,Jeff Buckley,1994,3pRaLNL3b8x5uBOcsgvdqM
184,Voor Haar,Frans Halsema,1977,5oSNx87hsjk0Nz0pdQcdct
185,Mr. Brightside,The Killers,2005,7oK9VyNzrYvRFo7nQEYkWN
186,Street Spirit (Fade Out),Radiohead,1994,5gz38AxRkD6Ywxd4fr2pLj
187,I Put A Spell On You,Creedence Clearwater Revival,1972,4SDywo3ykB2PEthjXvo1UP
188,One,Mary J Blige & U2,2006,2w9K8zyrxcAwRKRti0BvFa
189,Kronenburg Park,Frank Boeijen Groep,1985,5l0mUA4hwewx7cj8KzBGGE
190,Sweet Caroline,Neil Diamond,1969,62AuGbAkt8Ox2IrFFb8GKV
191,Thriller,Michael Jackson,1983,7azo4rpSUh8nXgtonC6Pkq
192,While My Guitar Gently Weeps,The Beatles,1968,389QX9Q1eUOEZ19vtzzI9O
193,The Rose,Bette Midler,1980,562JrM9b7jiu8LgzV62x3o
194,Echoes,Pink Floyd,1971,7kriFJLY2KOhw5en9iI2jb
195,All Along The Watchtower,The Jimi Hendrix Experience,1968,2aoo2jlRnM3A0NyLQqMN2f
196,Bad,U2,1984,3fOsKEaGwhp9TRgJnrMA2z
197,Testament,Boudewijn de Groot,1967,6J1orzdlXIAZOlZl21SWY6
198,Knocking On Heaven's Door,Guns N' Roses,1992,4JiEyzf0Md7KEFFGWDDdCr
199,Oude Maasweg,The Amazing Stroopwafels,1982,0rY0wiJbmpy42X0EUtgkd6
200,Don't You (Forget About Me),Simple Minds,1985,3fH4KjXFYMmljxrcGrbPj9
201,Three Little Birds,Bob Marley & The Wailers,1977,6A9mKXlFRPMPem6ygQSt7z
202,Vincent,Don McLean,1972,0VNzEY1G4GLqcNx5qaaTl6
203,Fortunate Son,Creedence Clearwater Revival,1969,4BP3uh0hFLFRb5cjsgLqDh
204,Born To Run,Bruce Springsteen,1975,6hTcuIQa0sxrrByu9wTD7s
205,Music,John Miles,1976,711BHJ4nErw7nPt3O5cP0z
206,Papillon,Editors,2009,5AtDUE1dzX1v962kqqMBFc
207,Englishman In New York,Sting,1988,4KFM3A5QF2IMcc6nHsu3Wp
208,Hurricane,Bob Dylan,1975,1lqMLr9Wj7SM2F9AikGcxN
209,Ace Of Spades,Motörhead,1980,6EPRKhUOdiFSQwGBRBbvsZ
210,In The Ghetto,Elvis Presley,1969,7KWoeBqSdZHEloYKVxssfG
211,Leave The Light On,Beth Hart,2004,3RmZDh1TTdUUZehY8wvKrF
212,I'm On Fire,Bruce Springsteen,1985,3PzsbWSQdLCKDLxn7YZfkM
213,Hello,Adele,2015,4sPmO7WMQUAf45kwMOtONw
214,Chop Suey!,System of a Down,2001,2DlHlPMa4M17kufBvI2lEN
215,Angel Of Death,Slayer,1986,61dTqhd46yMkSWmC5LAh5F
216,Rocket Man,Elton John,1972,3gdewACMIVMEWVbyb8O9sY
217,November,Rowwen Hèze,2000,3o4xfpSIs6BWnHQTx1oMUL
218,Man In The Mirror,Michael Jackson,1988,1kiNatIrwDusOZfR29W0LJ
219,Sad Man's Tongue,Volbeat,2007,6Hr4vhhv2yYqvK96xKY9eI
220,Atemlos Durch Die Nacht,Helene Fischer,2013,6oZLgfZMI00Lvb0dNUKhFL
221,Kayleigh,Marillion,1985,1Dsd1Nu06UbNmelEhPxKgB
222,Iedereen Is Van De Wereld,The Scene,1991,2YqFLkxAUQZZkeCLm0GPoP
223,Beautiful Day,U2,2000,1VuBmEauSZywQVtqbxNqka
224,Society,Eddie Vedder,2007,3bHhUEOTIbezeZ856R0BX5
225,The Unforgiven,Metallica,1991,2lF8jQFhIjpmQa501sYXxR
226,Bad Moon Rising,Creedence Clearwater Revival,1969,20OFwXhEXf12DzwXmaV7fj
227,One Day Like This,Elbow,2008,6H3S7yQjHn3ErG9o6v7qBs
228,Als Ze Er Niet Is,De Dijk,1994,1IQLFJXaUNVkFI4QzMmrxe
229,I Would Stay,Krezip,2000,6IMuC56Oeqbt9LPna4bfqu
230,The Load Out/Stay,Jackson Browne,1977,0Bk7XD1UQoqI0M8cTgmkNf
231,Pride (In The Name Of Love),U2,1984,3dh2LlmeMqKJbzn2WUgt3d
232,Walk Of Life,Dire Straits,1985,423o3ZHIaBtGXyhF1uH41a
233,Love You More,Racoon,2005,4rpU5VpYljwxLmGyb6JzbP
234,Formidable,Stromae,2013,382n05RtneO3ykQlFQrAd1
235,Old Man,Neil Young,1972,16XeptMdlJTWWeIrwEAOvv
236,Careless Whisper,George Michael,1984,4jDmJ51x1o9NZB5Nxxc7gY
237,"Take Me Home, Country Roads",John Denver,1971,39q7xibBdRboeMKUbZEB6g
238,Dream On,Aerosmith,1973,5MxNLUsfh7uzROypsoO5qe
239,Roxanne,The Police,1979,3EYOJ48Et32uATr9ZmLnAo
240,Zij Gelooft In Mij,André Hazes,1981,54fhJhjCSjGPDh5szTqXj3
241,Fade To Black,Metallica,1984,0dqGfCMAGyDgpUAgLNOjWd
242,She,Charles Aznavour,1974,2OxkfL5jW8bvYTCNDLlRSY
243,Ring Of Fire,Johnny Cash,1963,6YffUZJ2R06kyxyK6onezL
244,Skyfall,Adele,2012,6VObnIkLVruX4UVyxWhlqm
245,Fast Car,Tracy Chapman,1988,2M9ro2krNb7nr7HSprkEgo
246,Karma Police,Radiohead,1997,3SVAN3BRByDmHOhKyIDxfC
247,Dancing In The Dark,Bruce Springsteen,1985,7FwBtcecmlpc1sLySPXeGE
248,California Dreamin',The Mamas & The Papas,1966,4s6LhHAV5SEsOV0lC2tjvJ
249,Numb,Linkin Park,2003,2nLtzopw4rPReszdYBJU6h
250,Troy,Sinead O'Connor,1987,6m3kJ6d7Ypd1eoBoGP2qZN
251,We Are The Champions,Queen,1977,7ccI9cStQbQdystvc6TvxD
252,These Are The Days Of Our Lives,Queen,1991,2HpkD9J7t7xBaduVflpmqn
253,She Sells Sanctuary,The Cult,1986,4vnLdmUdkOworoveEzpEST
254,I'm Gonna Be (500 Miles),The Proclaimers,1988,3kYnliVTDOrBKXm4DS1icg
255,Run To The Hills,Iron Maiden,1982,0sxYYT48UPkmrDx8p4Hnrl
256,She's Always A Woman,Billy Joel,1978,5RgFlk1fcClZd0Y4SGYhqH
257,Still Got The Blues ,Gary Moore,1990,0DnGfA1r8pAssJCuq4ojla
258,Alie,Normaal,1977,0rAolAjKH2Yxgsg2WE8VwW
