titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Pinball Wizard,Who,1969,6LbbHFEajG9e4m0G3L47c4,375,445,309,389,419,576,451,577,793,550,383,403,451,415,410,458,526,589,647,1060,912
It's Raining Men,Weather Girls,1983,4caiYv89C9GZdDD1RzshWd,376,727,655,708,943,1032,1130,1020,1389,1068,1551,1347,1231,1398,1366,1095,1355,1709,1729,1923,1540
Weather With You,Crowded House,1992,6tXnRSvuNgOq4QcxpIN54r,378,334,348,474,535,608,792,809,606,625,978,920,950,1250,1099,1445,1489,1414,1489,1316,1441
Breakfast In America,Supertramp,1979,4a5pNRjwmzYQuEY1E7O6pj,379,533,354,459,541,584,576,625,690,587,695,948,759,582,683,845,1002,1033,962,800,837
Fernando,ABBA,1975,1IxDBsZdVMhfkLqrZjARpk,380,369,502,422,508,534,470,524,348,433,782,722,782,777,1109,1101,1209,1222,1194,951,902
Rivers Of Babylon,Boney M,1978,78His8pbKjbDQF7aX5asgv,381,207,445,564,732,440,533,615,502,529,1143,950,1030,1662,1483,1824,,1804,1776,1849,1619
Driver's Seat,Sniff 'n The Tears,1980,043DDFAWsTNPxgV7VvGfqp,382,650,474,534,329,594,610,766,970,638,977,921,959,897,918,1118,1180,931,1060,1019,1118
Keep On Loving You,REO Speedwagon,1981,4rcHWl68ai6KvpXlc8vbnE,383,481,440,515,412,582,718,792,960,673,835,904,936,979,989,943,1036,1048,1125,1108,1084
American Pie,Don McLean,1972,1fDsrQ23eTAVFElUMaf38X,384,252,335,310,530,383,310,544,553,439,585,556,465,372,409,562,504,628,718,542,542
Listen To The Music,Doobie Brothers,1972,7Ar4G7Ci11gpt6sfH9Cgz5,385,425,408,361,531,585,477,429,504,471,727,641,821,1170,901,962,1055,1016,840,1062,1050
Message To My Girl,Split Enz,1984,2YnKRdpWWapJWeouwfYqRa,386,343,260,281,363,417,442,540,614,466,624,711,740,941,839,659,683,786,793,1143,1033
Psycho Killer,Talking Heads,1978,1i6N76fftMZhijOzFQ5ZtL,387,618,411,594,721,535,882,785,715,680,579,595,450,703,528,480,557,526,425,618,523
Suzanne,Leonard Cohen,1968,2L93TdW2GMue1H2zlkt30F,390,395,434,400,320,341,392,280,327,320,206,281,326,302,314,320,417,110,298,394,396
Make Me Smile (Come Up And See Me),Steve Harley & Cockney Rebel,1975,184QpO8ZchGncbNyJe9SDT,391,300,283,412,522,665,499,590,698,569,1826,833,914,934,889,983,1178,1516,1567,1308,1314
Live To Tell,Madonna,1986,095MMFhB9qxPx2VsmvjnUs,392,614,811,1141,1162,1465,1546,1401,1794,1420,1429,1617,1784,1619,1423,1339,1503,1430,1222,1278,1734
Fast Car,Tracy Chapman,1988,2M9ro2krNb7nr7HSprkEgo,393,588,491,500,394,400,483,527,637,502,674,658,389,286,220,292,297,208,238,193,245
Get Back,Beatles,1969,4MLBqAEzNN89o2M9h92Z26,395,381,353,272,286,411,420,351,312,339,352,365,461,450,648,700,635,816,1026,1158,1111
Beautiful Noise,Neil Diamond,1976,3twVQ7o8aw8SmAwqMcm1fZ,397,412,248,479,435,415,364,309,398,360,294,295,398,487,621,582,757,791,746,802,778
Avalon,Roxy Music,1982,7iWIdiJlKvJ4PjFYVrWLUU,399,475,551,470,565,604,744,717,834,662,880,864,897,800,844,980,1147,1041,914,1347,1203
Het Werd Zomer,Rob de Nijs,1977,5DYnXF9L2uaqQ4TEcR3Pop,401,436,215,376,428,371,324,311,531,365,479,522,567,741,680,690,899,861,804,1008,766
Respect,Aretha Franklin,1967,7s25THrKz86DM225dOYwnr,402,447,518,409,314,254,418,588,313,367,715,342,434,665,598,782,813,790,842,245,346
Don't Answer Me,Alan Parsons Project,1984,3IeVrRu0jOlwOkTwD9AykT,403,379,237,212,366,467,416,518,401,416,770,637,823,981,1051,1167,1265,1308,1296,1457,1359
Sweet Home Alabama,Lynyrd Skynyrd,1974,7e89621JPkKaeDSTQ3avtg,405,453,329,355,270,256,237,376,428,323,268,354,377,441,344,422,415,401,381,284,409
I Say A Little Prayer,Aretha Franklin,1968,3NfxSdJnVdon1axzloJgba,407,438,465,440,766,456,517,504,360,448,821,498,519,606,803,793,929,942,951,300,444
Top Of The World,Carpenters,1973,1Ehdm1PDlKrdfyBsjwEvd1,408,,567,518,652,496,491,492,517,520,499,456,698,672,805,791,898,720,761,1093,1071
Lucky Man,"Emerson, Lake & Palmer",1971,2BURVLCtzmNylUqMVCLUbg,409,237,416,385,296,418,443,501,693,472,628,718,912,998,1121,1261,1350,1304,1160,1688,1668
The Air That I Breathe,Hollies,1974,6yLIqXX9edg1x0HZS7cZEv,411,336,404,466,505,571,504,490,620,521,660,669,814,1060,869,906,1129,1075,985,1210,1282
Happy X-Mas,John Lennon & Plastic Ono Band,1972,6ylGLJbSIL1QhDGafKO2Vv,412,589,1088,1082,1108,1304,1675,1663,1959,1526,1757,1509,1513,1639,1904,,1649,,,,1965
Blackbird,Beatles,1968,5jgFfDIR6FR0gvlA56Nakr,413,523,368,330,251,239,460,142,122,164,132,86,90,67,92,108,108,96,121,102,104
It's All Over Now,Rolling Stones,1964,6fLTxkL2wgC40fBM6IIe7r,414,480,473,390,395,548,527,450,632,498,704,772,903,1065,1181,1325,1451,1549,1552,1935,1916
One Step Beyond,Madness,1979,1G6eFFDRaLr9EbThnhzMBD,415,677,550,482,610,510,811,773,1116,729,421,463,508,384,373,295,367,344,304,541,544
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1993,391CwgcBxvUHmEKda2b5In,416,,190,260,234,389,497,348,446,370,623,690,581,593,638,651,595,738,810,645,616
Relight My Fire,Dan Hartman,1980,6UW4Uo5zRI5gJw5urNwiwN,417,446,683,603,788,900,1207,1285,1377,1070,954,869,1020,918,958,939,1260,1433,1422,1555,1578
Run To You,Bryan Adams,1985,2RWFncSWZEhSRRifqiDNVV,419,659,392,664,726,616,777,798,797,711,1133,1121,1064,1058,1047,1126,952,1017,1089,1251,1189
Biko,Peter Gabriel,1980,4X5nq5swAfwEMqDOOJpEA8,420,,,462,472,437,476,587,713,566,502,515,647,694,578,691,933,854,1157,1344,1346
Wild Horses,Rolling Stones,1971,52dm9op3rbfAkc1LGXgipW,421,,,352,323,397,449,306,571,412,426,413,438,480,402,382,464,508,456,552,486
Golden Brown,Stranglers,1982,2AX5E86cn9n2dgioZEjirI,422,390,452,425,404,382,463,386,430,405,454,467,441,430,335,457,434,580,514,462,465
I Am The Walrus,Beatles,1967,6Pq9MmkDQYZiiCDpxnvrf6,423,365,763,579,602,644,634,641,541,592,455,530,601,503,594,718,624,872,993,1131,1321
Too Much Love Will Kill You,Brian May,1992,5c8ahMgM0oqs8Qdq1HGV20,424,,652,429,519,586,720,1012,1015,769,1130,1350,1211,1127,1071,1264,1251,1511,1596,1002,1156
The Promise You Made,Cock Robin,1986,01m6wYrCrH6lgH0JAJpkK5,425,645,528,753,776,567,698,793,936,731,990,1092,1058,1365,1203,1210,1262,1112,1140,1313,1312
Orinoco Flow (Sail Away),Enya,1988,43SLVoulV6PzQnpaykYPlN,427,556,673,432,477,475,437,497,535,484,656,747,694,794,843,1006,793,1027,1021,1004,1141
Avond,Boudewijn De Groot,1997,5Gc1NPkUBjkARUkH1Giwvh,428,121,41,25,8,5,1,2,2,3,3,3,4,5,5,5,7,6,9,10,6
Love Is A Battlefield,Pat Benatar,1984,4wYqPn3Kg3vZrkVgW2oqAG,429,392,853,871,951,893,1071,1227,1240,1060,1111,1035,962,1118,1182,908,1068,1125,1067,990,1087
Hold The Line,Toto,1979,4aVuWgvD0X63hcOCnZtNFA,431,338,331,578,381,471,530,554,629,515,589,666,653,479,447,452,459,420,440,303,314
Romeo And Juliet,Dire Straits,1980,57MflfPN3ObQQAQtPUp0WF,432,,,269,203,331,295,316,320,302,358,326,314,306,276,353,340,368,393,372,361
Zonder Jou,Paul de Leeuw & Simone Kleinsma,1995,4AKFs5MZFYDd7k4wuETyy7,433,,549,818,824,509,565,297,293,402,222,395,444,542,464,483,614,692,639,548,514
How Can We Hang On To A Dream,Tim Hardin,1967,1wed13CuglKBkOnVFFzI1D,434,570,521,478,632,564,685,690,737,633,948,859,864,1274,1098,1253,1422,1574,1484,1972,1748
Holding Back The Years,Simply Red,1985,1yg7fwwYmx9DQ2TdXUmfpJ,435,465,569,661,319,408,379,454,633,446,378,363,357,451,478,404,451,449,503,538,572
Storm And Thunder,Earth & Fire,1971,7uzbAYvAnH49ld7ZH96jo2,436,408,394,284,291,450,462,575,820,510,608,695,818,946,906,886,1035,1111,1095,1112,1186
In The Dutch Mountains,Nits,1987,7JLjdk1PX5LMBxM5zfYCQV,437,363,390,636,250,483,486,458,697,477,408,316,493,494,588,524,711,723,675,707,735
The Load Out / Stay,Jackson Browne,1977,0Bk7XD1UQoqI0M8cTgmkNf,438,177,114,80,100,109,95,91,74,88,80,95,108,128,131,95,104,139,150,231,230
Heaven Must Be Missing An Angel,Tavares,1976,3ad1MVf3CUFCWW1EyMc9kk,439,569,455,567,467,525,521,511,599,523,457,402,599,565,580,461,590,832,719,992,965
Ruby Tuesday,Rolling Stones,1967,4hupcimlg3UBbW1kAQ6vrT,440,335,480,446,375,492,561,525,789,544,609,546,841,838,737,835,919,1004,873,1128,1078
San Francisco (Be Sure To Wear Some Flowers In Your Hair),Scott McKenzie,1967,77qBwefBIdzymXNCuAI8YX,441,641,1096,611,402,640,661,599,576,574,832,874,944,604,880,948,1022,1180,1181,1488,1496
Norwegian Wood,Beatles,1965,1H7gMYGykdtwZOV6s1N0by,442,255,402,288,328,328,340,303,261,283,260,306,286,499,430,445,469,603,652,884,838
The Boys Of Summer,Don Henley,1985,4gvea7UlDkAvsJBPZAd4oB,443,409,543,338,359,359,438,470,562,429,516,597,509,661,456,485,508,500,557,580,615
Hijo De La Luna,Mecano,1990,1HnAG3hNXZzxvzVyw1U8Yy,444,628,774,749,593,1018,987,932,954,859,997,1111,1088,1169,1201,1399,1485,1799,1704,1751,1977
Streets Of London,Ralph McTell,1972,0P49pJa288tm8gKbFcofn9,446,599,855,928,803,1313,766,799,915,842,958,932,1059,995,876,923,860,1113,1149,1467,1313
Love Is All,Roger Glover & Guests,1975,4xVvKpua7eX68Ic1TDqaUw,447,561,505,407,481,813,829,662,891,683,961,646,1057,854,850,964,1048,1537,1499,1238,1338
The Eve Of The War,Jeff Wayne,1978,7A2AVYAYNNHC7KHTx3szsY,449,653,641,628,710,1088,1075,1244,1287,1048,1065,878,1172,640,646,729,990,1244,1379,1049,1099
You've Got A Friend,Carole King,1971,7jNvvrEFtIQYnaukWx5ZSu,450,582,444,505,487,367,536,456,454,438,550,484,608,702,734,638,742,674,795,903,968
Anne,Herman Van Veen,1986,7orAuVnsGVZhD6BZ7LcWGl,451,522,499,544,577,429,362,340,309,358,420,426,457,588,669,713,754,762,812,1043,1191
Spicks And Specks,Bee Gees,1967,3VDc5gm14mRYDUANXeLW5Y,452,494,359,414,430,401,537,552,505,481,644,628,789,964,1209,1214,1240,966,1327,1414,1479
Tears In The Morning,Beach Boys,1970,0iz2Pm0bYYrHcuFletpNPT,453,470,406,508,448,578,607,789,775,629,632,618,768,1433,1048,997,1334,1184,1101,1749,1906
The Reflex,Duran Duran,1984,4sz1Ng2Cgidfqqiy0pNL6R,454,622,714,545,624,720,976,1085,1104,883,1441,1325,1353,1394,1154,1364,1316,1239,990,1331,1302
So Lonely,Police,1979,2wnsBaxrmkthIFAm6vqCuX,456,661,575,461,692,686,687,852,736,698,673,713,852,732,691,807,819,695,726,758,854
25 Or 6 To 4,Chicago,1970,7GqIDx2QVGOpd4r1fZaUUW,457,433,382,394,439,566,729,684,745,618,804,800,935,889,960,1071,1056,1210,971,1418,1472
Follow You Follow Me,Genesis,1978,6gyU6PaPpzTCUYzZcVICwk,458,324,280,242,204,291,343,424,487,347,346,324,430,456,429,372,563,654,645,920,809
Suzie Q (part 1),Creedence Clearwater Revival,1968,3hKFVoAwxUQGySf3PtV9aE,459,,307,337,276,186,258,294,319,263,325,313,408,528,524,741,746,709,720,799,959
A Different Corner,George Michael,1986,6khoye7kysa6cLGY0AO9dO,460,813,605,717,1002,873,1064,826,1222,931,1330,1265,1216,658,1045,1007,1243,1354,564,670,628
Night Fever,Bee Gees,1978,3mRM4NM8iO7UBqrSigCQFH,461,353,241,539,740,618,880,861,799,718,1136,1150,1138,1011,1310,1619,1348,1108,1231,1287,1372
Dodenrit,Drs. P,1974,12h7TXKEL1HtjmiWatGFb5,462,282,415,365,645,446,573,520,510,503,783,877,905,999,948,1160,889,1081,1117,1184,1293
S.O.S.,ABBA,1975,3Od3St4oAGyxOBmykF4H2G,463,640,530,731,728,940,942,1175,1098,949,1082,1053,1206,1377,1570,1665,1725,1727,1617,1277,1384
True Colors,Cyndi Lauper,1986,2A6yzRGMgSQCUapR2ptm6A,465,890,1100,858,1460,811,1083,927,998,964,1026,912,628,969,826,1114,1173,834,1009,1033,1136
Sylvia's Mother,Dr Hook & The Medicine Show,1972,4hLk7Bjz1XJWNDiqovvgBW,468,642,360,499,510,366,526,555,558,499,734,670,705,1217,1178,1306,1442,1332,1471,1719,1609
Big Log,Robert Plant,1983,7257drAN3eTtaaUUPw95B3,469,486,490,615,648,835,1097,1192,1142,939,1042,1189,1021,1012,924,909,1064,1140,1230,1425,1333
Honky Tonk Women,Rolling Stones,1969,3RZMzCvYsmJ0u2ioKTOsmJ,470,571,554,362,369,488,560,558,695,532,678,704,649,796,831,856,1109,1298,1100,1249,1133
We All Stand Together,Paul McCartney & Frog Chorus,1985,1X2ZZDB0lbqIHMoVPA1cdO,471,,759,1041,1287,1054,1052,1118,1363,1167,1212,1190,1229,992,1064,976,849,1198,1145,1620,1487
Sweet Dreams (Are Made Of This),Eurythmics,1983,1TfqLAPs4K3s2rJMoCokcS,472,457,924,600,853,544,582,674,802,654,728,655,474,666,507,708,666,685,567,339,484
Theme From 'New York New York',Frank Sinatra,1980,4ODWgs1CVAZKDbryEodjiz,474,998,1054,1100,1015,1040,951,1050,1216,1067,1215,1166,1078,1426,1258,1478,1332,1404,1500,1186,1310
(Something Inside) So Strong,Labi Siffre,1987,2z8PSS00q39tUuVjYfTO67,475,583,424,626,836,673,734,668,776,684,855,846,878,428,922,815,861,1164,1424,1399,1570
Rosanna,Toto,1982,37BTh5g05cxBIRYMbw8g2T,476,492,336,424,444,501,484,550,682,528,807,818,779,851,695,794,787,779,790,511,526
Here Comes The Sun,Beatles,1969,6dGnYIeXmHdcikdzNNDMm2,477,383,523,258,275,242,251,185,161,195,154,100,105,143,104,121,107,104,105,103,77
Red Red Wine,UB40,1983,4uOKFydzAejjSFqYbv1XPt,480,427,660,471,586,373,562,541,691,535,691,629,744,912,665,699,743,684,664,601,670
She's Leaving Home,Beatles,1967,3PjMtNzwhDHqxoKudm6GvF,481,,506,511,578,668,650,522,470,549,602,660,862,1094,935,1014,1136,1457,1136,1569,1507
Banger Hart,Rob de Nijs,1996,3eRhHRdaLV8aJKcFoCcr3y,482,368,265,401,386,432,407,436,526,426,711,895,870,967,1122,1129,1347,1403,1506,1453,1116
My Boy,Elvis Presley,1975,4baNC6PNq37xOVRqoZcNY5,484,541,472,428,367,487,275,390,455,393,401,476,603,535,601,617,637,711,631,651,604
Kingston Town,UB40,1990,3e7yziCpnpx2ujgvXqSLzp,488,574,664,725,622,606,579,696,673,627,837,744,772,1038,773,902,836,929,933,813,988
I Just Can't Help Believin',Elvis Presley,1972,0J6CARn5LFLUTpOhFtgwsa,490,538,616,516,303,478,321,411,426,396,466,510,645,688,821,795,822,923,1003,883,946
Terug Naar De Kust,Maggie MacNeal,1976,6FPOFblnPfyaav5LOx81xd,491,471,629,739,650,569,549,592,584,576,687,753,1010,960,1139,986,959,1278,1341,1759,1945
Is She Really Going Out With Him? (Live),Joe Jackson,1979,3Hf0AfuQSZFNUEQXtTELCs,492,351,407,391,191,285,398,324,514,345,391,366,487,474,468,439,505,553,588,518,605
Circle Of Life,Elton John,1994,7em38Hh2sKwnZ1HDgxvg82,493,,,925,639,736,998,819,1031,862,1115,1049,961,895,842,1005,951,1023,798,684,527
Lady Jane,Rolling Stones,1966,19kAUW6NMzgDHKT19s7782,494,592,681,571,714,641,644,636,873,667,896,739,973,978,1105,1349,1377,1438,1884,1502,1396
Smalltown Boy,Bronski Beat,1984,5vmRQ3zELMLUQPo2FLQ76x,495,420,568,441,611,666,946,945,824,753,1192,1057,1140,1269,1027,1081,1156,1093,1008,1023,980
The Way It Is,Bruce Hornsby & The Range,1986,6V50MyHPGhEmwYu0Wdyf0t,496,738,1073,715,667,868,945,1159,997,926,1508,1398,1371,1246,1293,981,1195,1524,1438,1394,1435
Het Is Een Nacht (Levensecht),Guus Meeuwis & Vagant,1995,1jnUXW29r0JgYRcQmC3gIp,498,670,545,849,657,476,248,334,409,388,415,481,366,434,489,620,507,774,996,708,632
Mrs. Robinson,Simon & Garfunkel,1968,0iOZM63lendWRTTeKhZBSC,499,529,433,519,539,514,553,573,790,591,635,514,478,618,518,642,641,575,659,524,568
La Isla Bonita,Madonna,1987,2Iib2MV3ECFJAourgP9dlY,501,632,779,827,966,1234,1151,1497,1656,1281,1385,1507,1502,1325,1510,1391,1461,1693,1659,1590,1846
A Hard Day's Night,Beatles,1964,5J2CHimS7dWYMImCHkEFaJ,502,875,965,1028,931,824,893,890,857,848,936,922,941,648,1161,1524,1626,1368,1593,1553,1506
Easy Lover,Phil Collins & Philip Bailey,1985,5LYJ631w9ps5h9tdvac7yP,503,627,679,660,654,716,994,1110,1371,943,1336,1381,1509,991,1214,1243,1278,1508,1663,887,645
I Heard It Through The Grapevine,Creedence Clearwater Revival,1973,2tpPgG8Xkdbhn5xf77EVPP,505,261,269,434,606,416,466,535,467,467,463,421,496,682,547,697,751,902,887,972,1000
Fool To Cry,Rolling Stones,1976,3T8dfE0azJUmXJA3QlmiZ5,506,723,574,548,613,611,694,715,1062,716,847,871,874,676,794,854,1019,925,946,1074,971
Crazy,Seal,1991,6Vz7vzOpCwKeSQlfViibuY,507,,968,512,501,784,903,977,1141,856,934,942,969,1064,868,812,821,915,938,1353,1409
Ben Ik Te Min,Armand,1967,5s6yU2Gfs9oCTxiX2LNbHC,508,402,540,457,442,307,382,508,382,404,893,676,796,715,1022,1279,90,706,904,1411,1315
You're The Voice,John Farnham,1987,5NwkWwfRJaT55hEPtCmJHx,509,662,838,649,729,781,692,689,881,726,938,1076,1000,748,726,895,800,994,880,1145,1137
Shout,Tears For Fears,1985,2gQaQUhDCNGfBVXTvxAmXQ,511,468,577,623,927,905,1199,993,1147,966,1140,1034,967,1013,1032,1036,1087,1058,897,1014,1224
Come On Eileen,Dexy's Midnight Runners,1982,3MrWxJaD2AT0W9DjWF64Vm,512,648,471,543,772,609,900,1046,902,803,1027,1106,1147,974,772,921,916,855,944,742,802
Ziggy Stardust,David Bowie,1972,5IyL3XOaRPpTgxVjRIAxXU,514,,,469,521,522,819,811,828,715,591,745,720,850,639,573,781,462,743,1005,985
Calypso,John Denver,1975,2eD5bmknmcojiCxoKpvVTI,515,461,823,758,679,810,699,676,640,657,805,766,826,812,1033,1192,1220,1167,1263,1217,1106
El Condor Pasa (If I Could),Simon & Garfunkel,1970,1eN42Q7IWRzRBq8eW2Y2TE,516,464,342,706,674,657,623,559,868,632,676,578,615,671,865,927,938,869,1012,876,899
Beast Of Burden,Bette Midler,1984,6TgqY8Vfm4StBe8hsxi3Ti,521,459,346,595,751,547,571,782,756,650,899,825,1024,1280,1296,1105,1509,1341,1410,1837,1950
Could You Be Loved,Bob Marley & The Wailers,1980,5O4erNlJ74PIF6kGol1ZrC,522,735,557,709,1011,587,753,897,809,763,721,422,557,439,608,846,932,922,958,899,910
Whatever You Want,Status Quo,1979,6KaDm4yzr5ZZxzl6qeJsD0,525,397,298,286,479,425,383,500,561,449,540,603,669,651,636,629,680,667,711,663,599
Nathalie,Gilbert Becaud,1964,1ul9ZfkWWeAjA3HiRwK4Op,526,1113,908,632,573,727,572,509,482,548,930,855,797,827,981,1263,1188,1335,1439,1735,1779
Beautiful People,Melanie,1969,4rMCvdNWp9IvvDJYyUfxyl,528,508,624,438,548,574,485,545,648,554,603,585,706,654,674,982,1072,1163,1416,1155,1060
Fields Of Gold,Sting,1993,0I1DJdLt9BKOb7GWmWxCjo,530,451,379,283,265,303,349,276,266,273,353,278,227,198,127,157,176,161,183,188,178
"You're The First, The Last, My Everything",Barry White,1974,6kOjNVGh1Gapc7224d20Ym,531,664,317,399,380,266,262,345,233,277,446,391,403,617,570,456,518,551,537,781,974
Non Non Rien N'A Changé,Poppys,1971,2qLXVZgaozltAMxgKFFXbU,532,407,418,485,582,477,403,446,645,490,571,667,634,686,697,781,795,984,1176,1149,1063
Bird Of Paradise,Snowy White,1984,1JGW1e2tacnCgBPfRH0haY,534,745,959,811,795,801,916,931,1133,903,969,1188,1210,857,1058,882,1261,1487,1429,1594,1280
'n Beetje Verliefd,André Hazes,1981,4rPf4esckke3QfLDEpbERX,535,348,710,569,572,454,570,727,612,584,1269,1249,1298,458,1322,1624,1883,1787,1758,1199,1101
It's A Sin,Pet Shop Boys,1987,6IDHh3FcwLVcG5NsmpQgg2,537,611,845,762,1236,1241,1262,1618,1792,1387,1574,1678,1681,1794,1571,1415,1444,1303,1459,1871,1651
Love On The Rocks,Neil Diamond,1980,6XNGIaXv2xljDcxQ99p65f,538,,517,1064,964,1116,1221,969,1503,1130,1321,1234,1221,1237,1324,1252,1542,1527,1573,1361,1341
Chan Chan,Buena Vista Social Club,1997,5sbw5zIz9ck2pOEDXUR0QU,539,,707,403,429,375,376,478,630,473,665,664,553,446,417,462,488,454,483,532,613
Every Little Thing She Does Is Magic,Police,1981,44aTAUBF0g6sMkMNE8I5kd,540,606,677,721,643,679,911,989,1136,857,872,822,816,684,550,686,753,799,773,938,817
Knowing Me Knowing You,ABBA,1977,46ou4l4zvrZMada0TgoVH9,541,753,721,904,706,823,759,917,663,746,1007,941,1103,1158,1368,1272,1255,1221,1094,822,917
Malle Babbe,Rob de Nijs,1975,6zmHu6LBDm961R4UUtbRi8,542,406,451,619,743,635,672,731,1167,742,903,1044,1125,1559,1386,1427,1760,1601,1571,1609,1297
Perhaps Love,John Denver & Placido Domingo,1981,1XeCCcv0C9vD6Z8P9E8uhG,543,490,940,774,594,672,703,768,848,713,726,732,808,852,969,1010,1124,1120,1421,1326,1208
"Oh, Pretty Woman",Roy Orbison,1964,48i055G1OT5KxGGftwFxWy,544,678,801,647,499,782,776,657,780,675,1102,961,1122,1443,1273,1640,1736,1885,1782,1532,1390
You're My Best Friend,Queen,1976,49L5s7lTES5EVnyGO09H0S,545,505,397,439,700,620,695,765,1042,723,581,749,774,940,739,748,817,802,764,642,690
You're So Vain,Carly Simon,1973,2DnJjbjNTV9Nd5NOa1KGba,546,775,365,480,387,374,431,502,568,457,537,567,570,882,907,714,701,756,695,628,942
It's My Life,Talk Talk,1984,4jhsuQCUCJKA5f0bXb6XdJ,549,590,534,697,680,556,895,907,1277,816,892,1115,1004,1057,959,936,1030,1122,975,1147,825
September,"Earth, Wind & Fire",1979,7Cuk8jsPPoNYQWXK9XRFvG,550,764,814,689,833,854,1043,813,1109,885,875,687,793,472,290,279,243,147,149,117,170
What's Love Got To Do With It,Tina Turner,1984,4kOfxxnW1ukZdsNbCKY9br,552,1302,1049,1654,1141,878,1131,1265,1605,1224,1536,1529,1615,,1724,,,,,1454,1626
Wonderful Life,Black,1987,7ljOyftEVNLdKmPvR5XaKs,555,432,720,734,798,814,755,875,852,777,1463,1327,1469,1499,1435,1675,1655,1602,1520,1721,1713
One Of These Nights,Eagles,1975,608xszaAxVh4m7NcKJiAbF,556,284,378,364,335,453,395,400,397,385,393,410,427,402,352,348,384,285,309,355,355
Time In A Bottle,Jim Croce,1973,12PlslqAWQUtiLoObNaj8a,557,559,599,682,644,592,578,529,719,598,647,543,622,616,360,333,355,424,363,460,432
Heartbreak Hotel,Elvis Presley,1956,6xNwKNYZcvgV3XTIwsgNio,558,699,1113,1191,1092,974,769,960,1237,995,1278,1351,1439,1233,1512,1806,1653,1998,1952,1762,1934
Cambodia,Kim Wilde,1981,2Sh3g4QYQrIAsvgfTXmSaX,559,423,513,768,603,919,975,1131,1105,922,1175,1037,1268,1335,1307,1255,1225,1213,1126,1142,1305
Halt Mich,Herbert Grönemeyer,1988,5zuWCYgg7PbIB1ytoaSbLP,560,725,739,402,306,299,206,233,145,207,213,186,242,233,259,240,309,390,364,465,508
Josephine,Chris Rea,1985,6JFfOp1LTXnyDCTfHlOc9j,561,612,387,308,542,500,529,585,546,522,626,621,708,1082,919,1093,1011,1156,1147,1505,1386
Working Class Hero,John Lennon,1970,1yKQBy7olMIqRpziyAzf8c,563,547,559,624,638,596,557,486,700,572,683,600,621,625,659,917,950,1190,1351,1437,1623
Fox On The Run,Sweet,1975,4uip0lLkMKl1nwchsdXs1r,566,194,125,491,497,561,507,837,1429,671,1405,1472,1745,1669,1739,1939,1952,1879,1564,1552,1564
Blauw,Scene,1991,1jlphb2nyrZ76BIjSgdbcG,567,496,432,347,277,494,545,506,687,496,477,469,578,408,490,222,180,186,242,383,302
Big In Japan,Alphaville,1984,3BZGi1yUqQyCNC868AqUGG,568,477,468,426,763,721,640,1080,961,789,1358,1014,1135,1409,1384,1461,1589,1674,1411,1674,1543
Time Is On My Side,Rolling Stones,1965,2jaN6NgXflZTj2z9CWcqaP,569,939,976,1000,768,1044,1126,1154,1261,1082,1058,1266,1458,1532,1316,1537,1780,1751,1576,1686,1641
Drive,R.E.M.,1992,3geRffSf6eAruhg23RkpKV,570,,,652,483,528,659,851,983,737,730,925,732,750,685,862,1010,1151,1053,1227,1326
There Must Be An Angel (Playing With My Heart),Eurythmics,1985,2PKPMLZJDmw77S8V2kEl6D,573,740,755,808,1047,806,789,963,1054,901,994,1045,1096,1550,1478,1639,1844,1653,1582,1872,1789
Annie's Song,John Denver,1976,4J0DbyODwZJcmIAiTSJfMF,574,400,637,654,647,648,538,566,582,575,652,644,597,488,504,726,646,510,522,525,467
Bicycle Race,Queen,1978,3lUx27TOwV2nAiKwnYYXxe,575,626,,672,681,590,584,630,753,641,713,754,697,486,837,970,991,976,1073,714,751
Il Volo,Zucchero,1996,36fYJLNnFHgCezJFMJD3NU,576,414,421,420,458,545,480,594,574,525,794,740,633,788,768,756,878,1157,1036,1226,1277
(You're) The Devil In Disguise,Elvis Presley,1963,0D1pEisM3QkiacGXJe5dmd,577,1305,1215,1760,928,1117,1022,1130,1370,1157,1075,1283,1499,1429,1453,1626,1667,1757,1649,1387,1477
(They Long To Be) Close To You,Carpenters,1970,50q2aUjWoTn6CJIfSPRJQA,579,565,752,1024,730,846,1160,1205,1008,978,987,975,1173,966,1367,1338,1344,1300,1559,1681,1897
Une Belle Histoire,Michel Fugain,1972,1GdtMDRiaF1EnG2LJpELme,581,,690,695,666,699,471,268,651,478,548,397,363,334,303,345,349,295,313,407,400
Gold,Spandau Ballet,1983,2X9fsxb6O6bYEopJYmUbNC,582,668,947,796,1023,874,972,1125,1241,1037,1063,1028,1102,1041,1113,1031,1233,1173,1182,1100,1022
I Heard It Through The Grapevine,Marvin Gaye,1969,1tqT6DhmsrtQgyCKUwotiw,583,859,726,840,837,579,823,714,924,743,675,710,515,653,488,518,790,895,826,932,1230
Tainted Love,Soft Cell,1981,58E1XVmZTODC67YNjneuXM,584,643,656,683,1111,886,1185,1065,1343,1064,1260,1333,1188,1027,1165,1142,1236,1038,1144,997,1058
Prikkebeen,Boudewijn De Groot,1968,7qHuC8Hvc7yWbuCeueh0SR,585,328,413,262,336,318,386,519,488,415,679,798,880,1139,1066,1309,1496,1444,1630,1755,1545
