titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1628
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1637
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1659
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1661
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1678
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1679
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1720
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1740
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1750
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1809
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1852
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1864
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1894
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1964
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1965
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1966
Well Allright,Blind Faith,1969,,1414,1407,1513,1565,,1761,,,,,,,,,,,,,,,1988
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,51
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,84
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,127
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,161
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,291
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,349
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,354
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,368
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,413
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,494
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,506
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,514
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,619
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,632
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,721
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,748
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,789
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,834
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,848
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,892
